date,soc_start_kwh,soc_end_kwh,initial_contract_kwh,final_contract_kwh,settlement_cost,emergency_kwh,emergency_cost,charge_kwh,discharge_kwh,curtailment_kwh,grid_spill_kwh,total_cost,mean_lp_objective,block_0_charge_kwh,block_0_discharge_kwh,block_1_charge_kwh,block_1_discharge_kwh,block_2_charge_kwh,block_2_discharge_kwh,block_3_charge_kwh,block_3_discharge_kwh,block_4_charge_kwh,block_4_discharge_kwh,block_5_charge_kwh,block_5_discharge_kwh
2025-09-19,8334.91067440506,8207.03430013596,32275.28609820539,32647.927862800003,17146.30263601858,166.43527822827724,553.402996843722,19484.505187917046,15973.540411482212,12925.546417991756,199.5605966016858,17699.7056328623,3988.8458985252137,996.3725213186824,3000.5085352555166,76.4504505842637,4264.686481877104,10635.541732008242,0.0,0.0,41.218333333333476,107.34196520261247,6166.766349000792,7762.628731676346,2500.360712015465
2025-09-20,8207.03430013596,8550.22439189354,31813.704690727507,32488.613377323185,16837.236626332153,573.0596019038833,2000.4250349004842,19357.19162963095,15598.245761968712,13551.282594898166,0.0,18837.661661232636,3833.691268268111,749.0972359695414,599.9043560983275,60.89481156482759,6313.195275159365,10605.771855101837,0.0,0.0,54.98675000000003,41.323662401673005,6040.2544439459925,8181.328292431911,2589.904936765026
2025-09-21,8550.22439189354,8299.378975065247,63444.8121014395,64180.227595698736,45749.05631803651,374.11495225535805,2043.7953470864525,20358.62822821999,16446.229538178814,2109.719965395496,177.70895918408587,47792.851665122966,10500.067375441797,2432.03949520737,291.8461674360616,59.80423417046052,6323.912534573977,6824.592733333335,1095.1527833333334,2768.6972812878366,53.24880000000019,51.93734917955846,8183.175145795474,7888.198861183609,498.89410703996793
2025-09-22,8299.378975065247,8557.412848644728,68505.10829261412,64829.65485949685,48684.903587584515,0.0,0.0,20914.80516763631,16674.98780441206,0.0,47.30657960591418,48684.903587584515,11335.360631278778,2440.0893849479307,307.94042607584095,488.8131560086142,6378.264287666515,5198.870481184514,1712.6139499999997,4445.826808269498,13.506567188836243,147.0627165589782,7993.990025871616,8152.446453812669,268.67254760924106
2025-09-23,8557.412848644728,8782.098656082311,68137.78835610198,66864.68473169357,47402.903132738466,289.43821819137935,1467.0115874195608,21465.071386543637,17184.490596406536,149.83688698227635,599.7683227655655,48869.91472015803,11111.85243535427,2634.5254017148454,116.3060829673459,37.95805716570716,6316.6658399628495,5054.056662056451,1896.6157166666662,5172.416885621657,122.61807477834589,137.86985352313593,8217.7711790342,8428.244526461853,514.5137029971283
2025-09-24,8782.098656082311,8988.835877343397,59429.532315598866,65313.73728521742,47379.132188385265,341.5122561624862,1777.8170115864602,21644.05652863647,17345.622289060575,185.80926869293754,120.05424977774032,49156.94919997173,11085.484430587569,932.0854888079606,435.42033715064406,1234.1399563661528,6091.104420076962,5332.151388602978,2052.0066438375134,5368.606945395777,167.35092760576458,121.58323699747939,8078.8192110650025,8655.489512466125,520.9207493246877
2025-09-25,8988.835877343397,8798.55105186557,62874.19953180176,65219.16537787194,48250.97702329255,31.596347408519954,158.2486135302256,20741.40215129639,16971.792085480123,1014.4570666659254,293.5922427982623,48409.225636822775,11163.340821328791,1836.3435197555925,337.91151745343586,0.0,5903.214599055473,6737.536233333334,1757.6831499999998,3420.4123751363454,300.66493146107143,245.73170620451936,8216.413692302714,8501.378316866605,455.9041952074284
2025-09-26,8798.55105186557,8582.793603508333,33570.338204177075,31640.778825574067,15671.116706780043,663.5810703004431,2274.6530138449716,20086.900734440835,16520.34945746436,10993.73898824992,38.16868064812161,17945.769720625016,3744.3857270933354,1106.348762176568,2584.7887175337664,66.19671744544098,5150.049726508264,10167.757166666668,0.0,432.712782554556,0.0,178.0255779201779,6380.037485958253,8204.721652425287,2405.473527464076
2025-09-27,8582.793603508333,8419.803617475913,32042.976055238458,33312.52539441471,18223.474808188395,773.1342708298384,3075.0389572828094,19396.1327932174,16109.951358720888,12764.25498824181,49.645942506230426,21298.513765471205,4066.4919143150896,825.1956487726204,2780.197906484057,211.6218714592776,4566.414399585417,10496.636878424855,0.0,0.0,141.43508333333335,152.2704353721154,6241.240996894895,8022.00401941768,2380.662972423187
2025-09-28,8419.803617475913,8627.767098455644,62919.81326806938,69265.129557907,56152.5241429705,29.968755380751734,141.28769724255406,21431.40842470194,17102.5780486661,1473.5378705852488,0.0,56293.81184021305,12076.438654260231,2670.4533901355585,289.0261386141134,76.09855679407246,5908.521916174634,5693.95405,2524.982277952582,4973.245671514112,371.63631590832426,95.92165587196087,8000.842432524037,7835.691097348312,7.568967492410252
