date,method,mae,rmse,spearman,high_price_precision,high_price_recall
2025-03-07,fixed,0.1576958333333333,0.17235804988775869,0.9011697305021121,0.9310344827586207,0.9310344827586207
2025-03-08,fixed,0.16893402777777777,0.1868579152353764,0.9037096429126842,0.8275862068965517,0.8275862068965517
2025-03-09,fixed,0.0432201388888889,0.05417179398809762,0.970113697579702,0.9310344827586207,0.9310344827586207
2025-03-10,fixed,0.05545833333333334,0.07334392063725831,0.9594452979470137,0.896551724137931,0.896551724137931
2025-03-11,fixed,0.04992083333333334,0.06210056472278566,0.9531273862996625,0.9655172413793104,0.9655172413793104
2025-03-12,fixed,0.04352777777777778,0.054175414678205795,0.9481327196431004,0.9310344827586207,0.9310344827586207
2025-03-13,fixed,0.05578611111111112,0.07135673973462882,0.9566922844521557,0.8620689655172413,0.8620689655172413
2025-03-14,fixed,0.17515625,0.19176104469857502,0.8945382714971449,0.896551724137931,0.896551724137931
2025-03-15,fixed,0.1622222222222222,0.17943720814442768,0.9288616579355181,0.896551724137931,0.896551724137931
2025-03-16,fixed,0.045496527777777775,0.05694050440298774,0.9469984617520135,0.896551724137931,0.896551724137931
2025-03-17,fixed,0.038602083333333335,0.0498468564427309,0.9343454540049537,0.8620689655172413,0.8620689655172413
2025-03-18,fixed,0.03935555555555556,0.05110277090769585,0.9630612798614862,0.9310344827586207,0.9310344827586207
2025-03-19,fixed,0.04047986111111111,0.05281318950897694,0.9615843323196165,0.9310344827586207,0.9310344827586207
2025-03-20,fixed,0.04234652777777778,0.05282612398236313,0.9609393211276708,0.9310344827586207,0.9310344827586207
2025-03-21,fixed,0.19590694444444445,0.21520666553080758,0.8971252997973977,0.8275862068965517,0.8275862068965517
2025-03-22,fixed,0.17880902777777777,0.19574622974232053,0.8906287835284922,0.896551724137931,0.896551724137931
2025-03-23,fixed,0.03960625,0.05337780892947097,0.9570729550852461,0.896551724137931,0.896551724137931
2025-03-24,fixed,0.04018611111111112,0.0509094130130503,0.9533665637704112,0.9310344827586207,0.9310344827586207
2025-03-25,fixed,0.03504513888888889,0.04453911748240093,0.9548293427991149,0.9310344827586207,0.9310344827586207
2025-03-26,fixed,0.04260416666666667,0.05419835867748519,0.9375445231432297,0.9310344827586207,0.9310344827586207
2025-03-27,fixed,0.03868125000000001,0.050190840659537786,0.9463563190446479,0.9310344827586207,0.9310344827586207
2025-03-28,fixed,0.19142916666666665,0.21314976118786633,0.8947381112735159,0.8275862068965517,0.8275862068965517
2025-03-29,fixed,0.20311458333333332,0.22822586080824991,0.8731089321511084,0.8275862068965517,0.8275862068965517
