日期,时段,电价,实际负载电量,实际光伏电量,预测负载电量,预测光伏电量,安全裕度电量,计划购电量,实际充电量,实际放电量,紧急购电量,弃光量,时段末储电量
2025-07-19,21:50,0.7764,720.4649999999999,0.0,703.0599680038604,0.0,74.30648343431281,1444.0331181048398,723.5681181048399,0.0,0.0,0.0,3154.472470576224
2025-07-19,22:00,0.4209,647.4749999999999,0.0,643.6168951311353,0.0,74.30648343431281,1551.2567118987813,833.3333333333333,0.0,0.0,70.44837856544814,3904.472470576224
2025-07-19,22:10,0.3859,605.8629666666666,0.0,620.9945807313693,0.0,74.30648343431281,1528.6343974990154,833.3333333333333,0.0,0.0,89.43809749901561,4654.472470576224
2025-07-19,22:20,0.4368,606.4476166666666,0.0,621.5145183754389,0.0,73.94991257925267,1528.797764288025,833.3333333333333,0.0,0.0,89.01681428802522,5404.472470576224
2025-07-19,22:30,0.4198,619.1033333333332,0.0,618.9066106086327,0.0,73.02696052425108,1525.266904466217,833.3333333333333,0.0,0.0,72.83023779955056,6154.472470576224
2025-07-19,22:40,0.4186,609.0425166666666,0.0,606.4586404786578,0.0,67.31570899160859,1507.1076828035998,833.3333333333333,0.0,0.0,64.7318328035999,6904.472470576224
2025-07-19,22:50,0.4241,597.3835833333333,0.0,617.4786080335407,0.0,64.37556312886984,1515.1875044957437,833.3333333333333,0.0,0.0,84.4705878290772,7654.472470576224
2025-07-19,23:00,0.4237,591.4366666666666,0.0,632.7617359200016,0.0,64.32463312992043,1530.4197023832553,833.3333333333333,0.0,0.0,105.64970238325543,8404.472470576224
2025-07-19,23:10,0.4248,582.16535,0.0,603.5217215968678,0.0,64.32463312992043,1501.1796880601214,833.3333333333333,0.0,0.0,85.68100472678816,9154.472470576224
2025-07-19,23:20,0.424,604.4080333333333,0.0,607.2156383394994,0.0,64.32463312992043,1504.873604802753,833.3333333333333,0.0,0.0,67.13223813608658,9904.472470576224
2025-07-19,23:30,0.422,642.6116666666667,0.0,637.2504264477079,0.0,64.45588563735785,1535.039645418399,833.3333333333333,0.0,0.0,59.09464541839907,10654.472470576224
2025-07-19,23:40,0.424,653.78675,0.0,618.0874192051926,0.0,67.17237684428252,1518.5931293828085,161.69725491530698,0.0,0.0,703.1091244675015,10800.0
2025-07-19,23:50,0.4271,724.6704333333333,0.0,656.5437122200688,0.0,67.67399470571388,1557.5510402591158,0.0,0.0,0.0,832.8806069257824,10800.0
2025-07-20,0:00,0.4276,759.5699999999999,0.0,764.5541123551203,0.0,63.461823028838054,828.0159353839583,0.0,0.0,0.0,68.44593538395839,10800.0
2025-07-20,0:10,0.4248,772.4347166666666,0.0,781.1264226321557,0.0,64.05068336244005,845.1771059945959,0.0,0.0,0.0,72.74238932792923,10800.0
2025-07-20,0:20,0.4245,726.4704499999999,0.0,772.9544401429091,0.0,64.73601995923116,837.6904601021403,0.0,0.0,0.0,111.22001010214035,10800.0
2025-07-20,0:30,0.4269,736.7766666666666,0.0,772.0596874090115,0.0,70.67011719316147,842.729804602173,0.0,0.0,0.0,105.95313793550633,10800.0
2025-07-20,0:40,0.4272,753.6872833333333,0.0,766.5962285475855,0.0,70.67011719316147,837.266345740747,0.0,0.0,0.0,83.57906240741374,10800.0
2025-07-20,0:50,0.4271,763.7686833333333,0.0,759.2393004680777,0.0,71.12890841328513,830.3682088813628,0.0,0.0,0.0,66.59952554802942,10800.0
2025-07-20,1:00,0.4285,770.9849999999999,0.0,753.9657893525477,0.0,71.98110129972648,825.9468906522743,0.0,0.0,0.0,54.961890652274406,10800.0
2025-07-20,1:10,0.4311,774.7328166666666,0.0,751.313114383072,0.0,75.96533110487674,827.2784454879488,0.0,0.0,0.0,52.54562882128221,10800.0
2025-07-20,1:20,0.4302,732.2266500000001,0.0,749.399399283615,0.0,74.27599242011775,823.6753917037328,0.0,0.0,0.0,91.44874170373271,10800.0
2025-07-20,1:30,0.4279,682.9983333333332,0.0,742.3457326573737,0.0,69.9436971885985,812.2894298459723,0.0,0.0,0.0,129.29109651263911,10800.0
2025-07-20,1:40,0.4312,716.6605,0.0,728.372166485143,0.0,69.9436971885985,798.3158636737417,0.0,0.0,0.0,81.6553636737417,10800.0
2025-07-20,1:50,0.4333,754.4217666666666,0.0,733.8044343712996,0.0,74.27599242011775,808.0804267914174,0.0,0.0,0.0,53.65866012475078,10800.0
2025-07-20,2:00,0.4311,743.3383333333333,0.0,746.8692407524959,0.0,70.52515322793184,817.3943939804277,0.0,0.0,0.0,74.05606064709445,10800.0
2025-07-20,2:10,0.4293,706.5403333333334,0.0,728.8639981570502,0.0,71.66447236443521,800.5284705214855,0.0,0.0,0.0,93.98813718815211,10800.0
2025-07-20,2:20,0.4324,693.8818833333332,0.0,712.5024429391315,0.0,71.66447236443521,784.1669153035666,0.0,0.0,0.0,90.28503197023338,10800.0
2025-07-20,2:30,0.4367,722.64,0.0,714.2908155103087,0.0,69.9436971885985,784.2345126989072,0.0,0.0,0.0,61.59451269890724,10800.0
2025-07-20,2:40,0.4348,764.3616166666667,0.0,718.512387445806,0.0,71.66447236443521,790.1768598102412,0.0,0.0,0.0,25.81524314357455,10800.0
2025-07-20,2:50,0.4335,764.6178333333334,0.0,718.8625674757842,0.0,70.52515322793184,789.387720703716,0.0,0.0,0.0,24.769887370382662,10800.0
2025-07-20,3:00,0.4357,729.895,0.0,713.4208878151,0.0,68.69033988346155,782.1112276985615,0.0,0.0,0.0,52.21622769856151,10800.0
2025-07-20,3:10,0.4374,713.5923833333333,0.0,704.2977020481463,0.0,67.04186241510888,771.3395644632552,0.0,0.0,0.0,57.747181129921955,10800.0
2025-07-20,3:20,0.4371,691.3401,0.0,702.4599894335188,0.0,66.5718145162065,769.0318039497253,0.0,0.0,0.0,77.69170394972525,10800.0
