日期,时段,电价,实际负载电量,实际光伏电量,预测负载电量,预测光伏电量,自适应分位数,安全裕度电量,计划购电量,实际充电量,实际放电量,紧急购电量,弃电量,时段末储电量
2025-02-13,7:20,0.7972,882.8447666666666,190.94688333333332,888.5346707810097,153.71085350235222,0.75,0.0,734.8238172786575,42.92593394532423,0.0,0.0,0.0,9344.6878851072
2025-02-13,7:30,0.7644,859.4433333333333,246.40625,877.3866830729809,199.1617918262994,0.75,0.0,678.2248912466814,65.18780791334814,0.0,0.0,0.0,9403.356912229214
2025-02-13,7:40,0.6899,845.2662833333334,301.9196166666667,837.359860448244,246.78750582759426,0.75,0.0,1423.905687953983,833.3333333333333,0.0,0.0,47.22568795398297,10153.356912229214
2025-02-13,7:50,0.86,970.2471166666666,346.3017333333333,963.9456831150371,294.32723123579365,0.75,0.0,669.6184518792435,45.67306854591027,0.0,0.0,0.0,10194.462673920532
2025-02-13,8:00,1.1617,1146.545,387.48124999999993,1185.2630449527169,341.8252152374842,0.75,0.0,10.10449638189948,0.0,748.9592536181007,0.0,0.0,9362.285725455977
2025-02-13,8:10,1.1683,1143.4822333333332,447.1230333333333,1216.2682692697304,390.32397624972987,0.75,0.0,0.0,0.0,696.3591999999999,0.0,0.0,8588.553281011533
2025-02-13,8:20,1.0956,1121.3403666666666,523.0486666666666,1182.6117651975967,433.7997123556159,0.75,0.0,0.0,0.0,598.2917,0.0,0.0,7923.784725455977
2025-02-13,8:30,1.0849,1149.9833333333331,596.65625,1178.807103998213,475.9251152756052,0.75,0.0,0.0,0.0,553.3270833333331,0.0,0.0,7308.976855085607
2025-02-13,8:40,1.061,1141.5419166666666,650.4464833333333,1171.7870973372276,527.824996808427,0.75,0.0,0.0,0.0,491.0954333333333,0.0,0.0,6763.315262493014
2025-02-13,8:50,1.043,1137.7083666666667,710.6531,1166.7489030662396,584.6629050552272,0.75,0.0,0.0,0.0,427.05526666666674,0.0,0.0,6288.809410641163
2025-02-13,9:00,1.036,1150.8999999999999,776.64375,1166.2362842941793,642.2603172297356,0.75,0.0,0.0,0.0,374.2562499999999,0.0,0.0,5872.969132863385
2025-02-13,9:10,1.0147,1146.27055,823.5198499999999,1162.0124199006684,697.8043651246551,0.75,0.0,0.0,0.0,322.75070000000005,0.0,0.0,5514.357243974497
2025-02-13,9:20,0.9922,1152.8867333333333,879.2409166666666,1157.690140553017,736.0393012839509,0.75,0.0,0.0,0.0,273.64581666666663,0.0,0.0,5210.30633656709
2025-02-13,9:30,0.97,1169.1483333333333,946.1499999999999,1161.333558925552,765.6742143889239,0.75,0.0,0.0,0.0,222.99833333333345,0.0,0.0,4962.530410641163
2025-02-13,9:40,0.9422,1161.7817166666666,998.1579333333334,1174.328665426821,811.4812347606833,0.75,0.0,0.0,0.0,163.62378333333322,0.0,0.0,4780.726206937459
2025-02-13,9:50,0.9569,1158.2093499999999,1051.1743666666666,1167.8724736714207,854.8891003030533,0.75,0.0,0.0,0.0,107.03498333333323,0.0,0.0,4661.7984476782
2025-02-13,10:00,0.9977,1156.1916666666666,1103.3062499999999,1148.2694372745946,887.0475701027763,0.75,0.0,0.0,0.0,52.88541666666674,0.0,0.0,4603.036873604126
2025-02-13,10:10,0.9919,1130.0637,1132.6827833333332,1149.4876751219044,915.6335229198514,0.75,0.0,0.0,2.619083333333265,0.0,0.0,0.0,4605.3940486041265
2025-02-13,10:20,0.9588,1137.7237333333333,1151.5930666666666,1147.0018346364188,932.1743195080321,0.75,0.0,0.0,13.869333333333316,0.0,0.0,0.0,4617.876448604126
2025-02-13,10:30,0.9549,1163.8,1161.51875,1135.9867327662787,950.3629116160321,0.75,0.0,0.0,0.0,2.28125,0.0,0.0,4615.341726381904
2025-02-13,10:40,0.9839,1133.9680833333332,1159.2318166666666,1138.0060226103506,995.520332962139,0.75,0.0,0.0,25.263733333333448,0.0,0.0,0.0,4638.079086381904
2025-02-13,10:50,0.799,1113.389,1197.7260999999999,1141.863697106383,1034.9670511804036,0.75,0.0,106.89664592597933,191.2337459259793,0.0,0.0,0.0,4810.189457715285
2025-02-13,11:00,0.5025,1127.135,1262.5375,1147.2393037570548,1048.8904820349146,0.75,0.0,931.6821550554735,833.3333333333333,0.0,0.0,233.75132172214035,5560.189457715285
2025-02-13,11:10,0.4662,1133.8914666666665,1280.1370666666667,1161.445211044903,1047.6495506365281,0.75,0.0,947.1289937417082,833.3333333333333,0.0,0.0,260.04126040837514,6310.189457715285
2025-02-13,11:20,0.5007,1130.5163166666666,1267.4995333333331,1147.32970407748,1050.807299112724,0.75,0.0,929.8557382980894,833.3333333333333,0.0,0.0,233.50562163142263,7060.189457715285
2025-02-13,11:30,0.4827,1117.84,1261.6187499999999,1120.014222007286,1060.548853558393,0.75,0.0,892.7987017822263,833.3333333333333,0.0,0.0,203.244118448893,7810.189457715285
2025-02-13,11:40,0.4785,1093.0465333333332,1278.9588666666666,1128.9390822460418,1063.6410874392784,0.75,1.242782364827633,899.8741105049244,833.3333333333333,0.0,0.0,252.45311050492433,8560.189457715285
2025-02-13,11:50,0.4662,1064.5338166666666,1270.8828833333332,1110.4482866991561,1062.6885820475397,0.75,0.0,881.0930379849497,833.3333333333333,0.0,0.0,254.10877131828306,9310.189457715285
2025-02-13,12:00,0.4432,1047.5783333333334,1240.71875,1063.8141166114242,1064.7184807275712,0.75,0.0,832.4289692171862,833.3333333333333,0.0,0.0,192.2360525505194,10060.189457715285
2025-02-13,12:10,0.4411,1051.7476166666665,1237.5090166666666,1057.5771082450194,1072.2650604179894,0.75,0.0,818.6453811603633,822.0117136496831,0.0,0.0,182.39506751068052,10800.0
2025-02-13,12:20,0.4551,1049.0909499999998,1222.7339666666667,1070.2444266253906,1069.8708476955278,0.75,0.0,833.706912263196,0.0,0.0,0.0,1007.3499289298629,10800.0
2025-02-13,12:30,0.4463,1032.6383333333333,1189.51875,1068.1520951741809,1059.8862639718104,0.75,0.0,841.5991645357037,0.0,0.0,0.0,998.4795812023704,10800.0
2025-02-13,12:40,0.4113,1022.7953166666666,1173.1793666666667,1046.1674766274477,1061.14156681725,0.75,0.0,818.3592431435311,0.0,0.0,0.0,968.7432931435312,10800.0
2025-02-13,12:50,0.5682,1027.5122999999999,1160.7815333333333,1063.9899827994568,1068.9215210563902,0.75,0.0,828.4017950763998,0.0,0.0,0.0,961.6710284097333,10800.0
2025-02-13,13:00,0.8279,1043.5566666666666,1129.59375,1108.5672222698095,1067.1345269212154,0.75,0.0,41.43269534859405,0.0,0.0,0.0,127.46977868192744,10800.0
2025-02-13,13:10,0.8636,1060.8624499999999,1074.4633,1105.2280769695283,1044.4423177742804,0.75,0.0,60.78575919524792,0.0,0.0,0.0,74.38660919524796,10800.0
2025-02-13,13:20,0.8416,1073.0154,1046.9495666666667,1086.796867970726,1027.7468906546223,0.75,0.0,59.04997731610365,0.0,0.0,0.0,32.98414398277032,10800.0
2025-02-13,13:30,0.8618,1075.6116666666667,1063.7312499999998,1082.7735428382305,1013.7002626867794,0.75,0.0,69.07328015145106,0.0,0.0,0.0,57.192863484784084,10800.0
2025-02-13,13:40,0.8623,1067.1069333333332,1085.5730833333332,1087.0186783037939,972.7107630371333,0.75,0.0,114.30791526666053,0.0,0.0,0.0,132.7740652666605,10800.0
2025-02-13,13:50,0.9026,1053.2574333333332,1049.7354666666665,1077.1295789200176,928.5256807810788,0.75,0.0,0.0,0.0,3.5219666666666853,0.0,0.0,10796.086703703704
2025-02-13,14:00,0.9754,1039.6266666666666,980.1187499999999,1063.3058954976048,892.344808383422,0.75,0.0,0.0,0.0,59.50791666666669,0.0,0.0,10729.966796296298
2025-02-13,14:10,1.0002,1030.9690166666664,960.3680833333333,1073.415162755424,853.2660831037099,0.75,0.0,0.0,0.0,70.60093333333316,0.0,0.0,10651.521314814816
2025-02-13,14:20,0.9978,1036.3546333333334,947.2082,1063.553472686413,816.712564995667,0.75,0.0,0.0,0.0,89.14643333333333,0.0,0.0,10552.469722222224
2025-02-13,14:30,1.0271,1055.1533333333332,910.3374999999999,1036.523794514333,779.9921910460032,0.75,0.0,0.0,0.0,144.81583333333333,0.0,0.0,10391.563240740743
2025-02-13,14:40,1.0906,1068.9339833333333,865.5701166666665,1041.4903822134859,732.7502085499316,0.75,0.0,0.0,0.0,203.3638666666668,0.0,0.0,10165.60338888889
2025-02-13,14:50,0.9376,1035.1463333333331,829.4532333333333,1054.0651661325678,683.6238993196881,0.75,0.0,0.0,0.0,205.69309999999984,0.0,0.0,9937.055500000002
2025-02-13,15:00,0.6694,993.585,798.375,1058.0142158978415,639.3197888654109,0.75,0.0,1252.0277603657637,833.3333333333333,0.0,0.0,223.4844270324304,10687.055500000002
2025-02-13,15:10,0.66,1025.3725666666664,753.1511999999999,1059.1966081180906,599.6033290632058,0.75,0.0,1292.926612388218,125.49388888888643,0.0,0.0,895.2113568326649,10800.0
2025-02-13,15:20,0.7217,1030.0183166666666,692.2647666666667,1044.1619718203942,563.4736751294655,0.75,0.0,1314.0216300242619,0.0,0.0,0.0,976.268080024262,10800.0
2025-02-13,15:30,0.7308,999.3999999999999,632.4124999999999,1024.9706941035754,523.7601138716419,0.75,0.0,794.1340574422347,0.0,0.0,0.0,427.1465574422348,10800.0
2025-02-13,15:40,0.7534,1025.44835,590.5262333333333,1030.1732977121642,472.41956602908306,0.75,0.0,557.7537316830811,0.0,0.0,0.0,122.83161501641439,10800.0
2025-02-13,15:50,0.7823,1048.0838833333332,532.2552,1033.3050741456161,421.42337583423705,0.75,0.0,611.8816983113791,0.0,0.0,0.0,96.05301497804567,10800.0
2025-02-13,16:00,0.8055,1030.1399999999999,457.89375,1029.6346858072668,371.6870036738169,0.75,0.0,657.9476821334499,0.0,0.0,0.0,85.70143213345,10800.0
2025-02-13,16:10,0.8271,1002.5688166666666,401.99075,1038.9111338522112,313.4893255976106,0.75,0.0,725.4218082546006,0.0,0.0,0.0,124.84374158793389,10800.0
2025-02-13,16:20,0.8519,1015.3652166666667,346.6722666666667,1037.026055935236,258.4440712739614,0.75,0.0,778.5819846612745,0.0,0.0,0.0,109.88903466127465,10800.0
2025-02-13,16:30,0.8791,1039.0749999999998,283.60625,1023.019415846582,209.50542212934585,0.75,0.0,813.5139937172362,0.0,0.0,0.0,58.04524371723642,10800.0
2025-02-13,16:40,0.9024,1002.4123833333333,224.6499833333333,1022.3130590975171,158.92669552099346,0.75,0.0,863.3863635765236,0.0,0.0,0.0,85.62396357652369,10800.0
2025-02-13,16:50,0.9163,995.4735666666667,169.74994999999998,1027.9970765603653,112.44726865757707,0.75,0.0,915.5498079027882,0.0,0.0,0.0,89.82619123612142,10800.0
2025-02-13,17:00,0.9264,1027.0733333333333,115.96875,1028.4769135424033,70.40387329065715,0.75,0.0,958.0730402517461,0.0,0.0,0.0,46.96845691841281,10800.0
2025-02-13,17:10,0.9462,1012.9776666666667,63.28765,1020.3437691131691,29.332419526022694,0.75,0.0,991.0113495871464,0.0,0.0,0.0,41.32133292047979,10800.0
2025-02-13,17:20,0.9742,986.3119166666667,21.789783333333332,1017.6041552330028,5.675228619051098,0.75,0.0,1011.9289266139516,0.0,0.0,0.0,47.40679328061822,10800.0
