date,slot,endpoint_minute,price,load_kw,pv_kw,load_forecast_kw,pv_forecast_kw,initial_contract_kwh,final_contract_kwh,active_contract_kwh,charge_kwh,discharge_kwh,emergency_kwh,curtailment_kwh,grid_spill_kwh,soc_start_kwh,soc_end_kwh,active_issue
2025-02-01,14,160,0.4348,2844.4369,0.0,2981.2127696788866,0.0,496.8911824009087,496.8911824009087,496.8911824009087,0.0,0.0,0.0,0.0,22.81836573424198,10800.0,10800.0,0
2025-02-01,15,170,0.4335,2768.3064,0.0,3000.2212421360855,0.0,500.0530403210287,500.0530403210287,500.0530403210287,0.0,0.0,0.0,0.0,38.668640321028704,10800.0,10800.0,0
2025-02-01,16,180,0.4357,2861.65,0.0,3078.409422822292,0.0,513.0588154520453,513.0588154520453,513.0588154520453,0.0,0.0,0.0,0.0,36.117148785378674,10800.0,10800.0,0
2025-02-01,17,190,0.4374,2900.3973,0.0,3121.0123394059765,0.0,520.1453590721939,520.1453590721939,520.1453590721939,0.0,0.0,0.0,0.0,36.74580907219382,10800.0,10800.0,0
2025-02-01,18,200,0.4371,2919.6115,0.0,3111.2834084024817,0.0,518.5406557812489,518.5406557812489,518.5406557812489,0.0,0.0,0.0,0.0,31.938739114582233,10800.0,10800.0,0
2025-02-01,19,210,0.4356,2993.09,0.0,3065.584267333098,0.0,510.93888864166706,510.93888864166706,510.93888864166706,0.0,0.0,0.0,0.0,12.090555308333705,10800.0,10800.0,0
2025-02-01,20,220,0.4353,3109.8584,0.0,3024.943609280904,0.0,504.178568607575,504.178568607575,504.178568607575,0.0,14.131164725758367,0.0,0.0,0.0,10800.0,10784.298705860268,0
2025-02-01,21,230,0.436,3054.8008,0.0,3072.3275343294563,0.0,512.060589055872,512.060589055872,512.060589055872,2.9271223892053513,0.0,0.0,0.0,0.0,10784.298705860268,10786.933116010554,0
2025-02-01,22,240,0.4378,2901.7,0.0,3150.1652109703236,0.0,525.0084011736444,525.0084011736444,525.0084011736444,14.518759988273409,0.0,0.0,0.0,26.87297451870439,10786.933116010554,10800.0,0
2025-02-01,23,250,0.4401,2947.1208,0.0,3121.1499172347903,0.0,520.1818879985015,520.1818879985015,520.1818879985015,0.0,0.0,0.0,0.0,28.995087998501447,10800.0,10800.0,0
2025-02-01,24,260,0.4389,3027.8717,0.0,3125.153868461146,0.0,520.8921977491942,520.8921977491942,520.8921977491942,0.0,0.0,0.0,0.0,16.246914415860886,10800.0,10800.0,0
2025-02-01,25,270,0.4364,3033.47,0.0,3204.312725637752,0.0,534.060899390261,534.060899390261,534.060899390261,0.0,0.0,0.0,0.0,28.482566056927737,10800.0,10800.0,0
2025-02-01,26,280,0.4393,3019.3858,0.0,3260.4206395970414,0.0,543.3948944097203,543.3948944097203,543.3948944097203,0.0,0.0,0.0,0.0,40.16392774305365,10800.0,10800.0,0
2025-02-01,27,290,0.4422,3017.0819,0.0014,3305.221696826303,0.0,550.8479044315837,550.8479044315837,550.8479044315837,0.0,0.0,0.0,0.00023333333333333333,48.000921098250366,10800.0,10800.0,0
2025-02-01,28,300,0.4395,2997.85,0.0,3301.547672302373,0.0,550.2367014089118,550.2367014089118,550.2367014089118,0.0,0.0,0.0,0.0,50.59503474224516,10800.0,10800.0,0
2025-02-01,29,310,0.4333,2932.7015,0.0,3199.806670577722,0.0,533.3112815107182,533.3112815107182,533.3112815107182,0.0,0.0,0.0,0.0,44.52769817738488,10800.0,10800.0,0
