date,series,issue_hour,mae_kw,rmse_kw
2025-10-14,pv_corrected,12,174.53230833333336,377.7666118842768
2025-10-14,pv_raw,18,514.7452375,907.5723281870545
2025-10-14,pv_corrected,18,485.8087083333333,871.8467546716224
2025-10-15,load_day_ahead,0,111.07428043136905,140.71782728883764
2025-10-15,pv_raw,0,241.1629333333333,446.4993340570024
2025-10-15,pv_corrected,0,196.37888750000002,359.5170247614296
2025-10-15,pv_raw,6,160.41120833333335,314.71895721159433
2025-10-15,pv_corrected,6,143.3731791666667,279.38351042671997
2025-10-15,pv_raw,12,131.01215416666665,294.76651431689606
2025-10-15,pv_corrected,12,145.8838041666667,352.6078057260566
2025-10-15,pv_raw,18,425.2857333333332,737.7729572092899
2025-10-15,pv_corrected,18,482.0137124999999,859.1175802317641
2025-10-16,load_day_ahead,0,114.97084236207995,145.84532746813585
2025-10-16,pv_raw,0,149.34174166666662,263.3201194403432
2025-10-16,pv_corrected,0,124.32795416666654,265.36785602509286
2025-10-16,pv_raw,6,81.5833416666667,150.9001112489568
2025-10-16,pv_corrected,6,77.51798333333336,139.67933202297985
2025-10-16,pv_raw,12,445.54436666666675,1032.3223590855102
2025-10-16,pv_corrected,12,496.96687916666673,1149.9626214823388
2025-10-16,pv_raw,18,277.03444583333334,535.1009127885891
2025-10-16,pv_corrected,18,323.7312583333334,642.0272879608675
2025-10-17,load_day_ahead,0,120.77764679276571,149.75495754724568
2025-10-17,pv_raw,0,381.17351666666656,641.4989360937487
2025-10-17,pv_corrected,0,409.8881208333333,712.4420857967774
2025-10-17,pv_raw,6,134.86892083333328,293.3884461847601
2025-10-17,pv_corrected,6,116.28606666666663,256.39935738026753
2025-10-17,pv_raw,12,133.69358333333335,329.2128366741592
2025-10-17,pv_corrected,12,146.2526791666667,315.8899918358848
2025-10-17,pv_raw,18,502.55244999999996,1050.2887796731768
2025-10-17,pv_corrected,18,464.76624583333336,954.3209572007853
2025-10-18,load_day_ahead,0,128.83783770860313,157.93587580607291
2025-10-18,pv_raw,0,224.06105833333342,428.90656314052154
2025-10-18,pv_corrected,0,166.64094583333338,325.46060800206624
2025-10-18,pv_raw,6,200.98415833333343,394.14046583822864
2025-10-18,pv_corrected,6,218.4930875000001,425.1449956270013
2025-10-18,pv_raw,12,238.0912125,593.712029277851
2025-10-18,pv_corrected,12,225.179025,589.5286111932095
2025-10-18,pv_raw,18,329.6954541666667,644.9049811965272
2025-10-18,pv_corrected,18,330.80388333333326,634.2706070127292
2025-10-19,load_day_ahead,0,113.38384648610449,142.39151947217272
2025-10-19,pv_raw,0,89.28056249999996,187.85044175429266
2025-10-19,pv_corrected,0,83.45825416666655,147.6982964657188
2025-10-19,pv_raw,6,71.01740833333331,141.71500387118803
2025-10-19,pv_corrected,6,61.92334583333326,145.91114500635456
2025-10-19,pv_raw,12,145.99992083333325,334.57258362854463
2025-10-19,pv_corrected,12,130.27582916666654,289.05667628546973
2025-10-19,pv_raw,18,129.2262916666667,223.37851966486724
2025-10-19,pv_corrected,18,151.3756291666666,248.31551046847716
2025-10-20,load_day_ahead,0,113.65625936172154,136.88548807576026
2025-10-20,pv_raw,0,196.57693333333336,372.93484473273617
