date,soc_start_kwh,soc_end_kwh,initial_contract_kwh,final_contract_kwh,settlement_cost,emergency_kwh,emergency_cost,charge_kwh,discharge_kwh,curtailment_kwh,grid_spill_kwh,total_cost,mean_lp_objective,block_0_charge_kwh,block_0_discharge_kwh,block_1_charge_kwh,block_1_discharge_kwh,block_2_charge_kwh,block_2_discharge_kwh,block_3_charge_kwh,block_3_discharge_kwh,block_4_charge_kwh,block_4_discharge_kwh,block_5_charge_kwh,block_5_discharge_kwh
2025-08-25,9212.609942899619,9202.852252231516,93517.99649480823,76460.02400191536,57948.723633890935,189.59130338669894,985.5390260104111,20346.35721708632,16489.331267441215,1624.3551242612987,388.35209806231717,58934.262659901346,13756.491941050366,1832.7326094036293,75.18573111116939,181.0360863785505,5811.506501697181,6501.1413833333345,1071.3524499999999,2867.1818972614747,832.7987666666668,48.27797588423435,8093.959905361525,8915.9872648251,604.5279126046735
2025-08-26,9202.852252231516,10208.940565841818,72589.08186866695,72283.91571893895,50879.65640740768,0.0,0.0,21969.65383206516,17032.986603981153,1265.6107457204425,556.8815951344889,50879.65640740768,12035.014485125286,1881.7602977243814,107.97777377984448,110.55708665502206,6926.801035474266,7182.4834534685215,1429.1314000000004,3338.9957657476457,234.83206666666683,125.02028886562888,7809.263370829224,9507.43753498377,524.9809572311516
2025-08-27,10208.940565841818,9816.395251600841,73365.01807547382,75836.17760355669,55316.21182881381,398.16613607350786,2516.985613329329,19795.515252744946,16244.611655282653,4328.75752941489,470.78462941967217,57833.19744214314,13108.428619352871,829.4199950089244,187.49275649509843,79.54409475308,4641.981729904047,6907.645400000001,2083.4201833333336,2214.439885309818,680.3018333333335,14.092780514616202,8331.32430178093,9573.772501778712,320.09085043590886
2025-08-28,9816.395251600841,9862.150266512448,71921.76894222034,76848.94649712971,54715.66514986693,29.23971248374744,197.1049018529415,20656.86118003833,16833.066434424894,2048.7861685972525,379.4637120694257,54912.770051719875,12981.712820208724,1231.7262811873898,210.34699741793486,199.39807655234074,5268.553222772463,4865.340004137593,2242.004516666667,4813.58102135269,392.98775,162.80381145109925,8262.193504501933,9559.553210066217,456.9804430658917
2025-08-29,9862.150266512448,9666.765967551111,43664.596421253584,41765.206425555385,27326.706692099175,236.4899899954705,1170.089449363385,21097.324263399176,17152.16115344591,15241.200786334764,216.49280259615853,28496.79614146256,6363.064058395727,1180.111196870902,648.3902356235086,134.3033833333334,7747.045891520552,10092.376638663492,0.0,0.0,39.53425000000004,98.26491348434288,7670.063187109328,9453.357798982139,1047.1275891925238
2025-08-30,9666.765967551111,9502.157333840281,42632.733442253884,41348.75852259686,27317.07696560984,50.4134549104418,235.22918061212147,20587.498536203162,16794.350561622665,18781.78473974634,209.99499651378153,27552.30614622196,6376.883487399844,955.9253718611253,1211.66701303166,657.4275666666666,6862.9270430910265,9614.430623603912,0.0,0.0,45.90166666666664,90.17955570231327,7548.1547491439,9232.904525725131,1125.7000896894103
2025-08-31,9502.157333840281,9720.97330118649,72352.32083948271,71649.91144197182,52261.38780828059,213.3467240940033,1420.163276887804,21262.91953453272,17026.030452359926,139.2077347476773,934.0441491453514,53681.551085168394,12301.815085384838,1506.96973841497,52.587088572379,19.031070759814952,7286.1768966600275,6412.540150425447,948.1480166666666,3743.643498210172,535.2258793010212,104.94578629675209,8137.299081025817,9475.789290425571,66.59349013401473
2025-09-01,9720.97330118649,10578.363667021891,81945.12587654368,66947.50307482583,50113.1275531513,8.815119909485702,59.603433267987576,17222.358778900183,13653.986554976993,5549.667803143501,4221.719951001968,50172.73098641929,11981.722585751777,1198.9185542372322,0.0,0.0,4508.189166666667,4603.786538341605,770.0439999999999,1912.550704456743,0.0,0.0,8375.082445604836,10094.173689666704,0.6709427054897787
2025-09-02,10578.363667021891,10800.0,71858.78425720477,68713.16618942618,49154.059133724055,0.0,0.0,19519.14031369777,15810.503654095204,6926.668560666728,4042.526269156882,49154.059133724055,11500.742353633155,246.2625921978987,0.0,0.0,5705.515192345899,6771.685416666668,1530.127516666667,2251.732536846791,73.32583333333321,0.0,8407.939621954794,10495.722360184325,93.59548979451279
2025-09-03,10800.0,10800.0,75488.77085721359,66723.77257957327,48479.691307065616,0.0,0.0,16980.05316697379,13753.843065248775,3982.871281616171,4038.2198295654225,48479.691307065616,11508.851671194856,0.0,0.0,0.23028129652357165,4844.973578179631,4220.3879333333325,545.8599500000003,2587.399928348556,123.66116763288164,0.0,8029.91762412362,10172.03502399538,209.43074531263858
2025-09-04,10800.0,10800.0,74264.09318814974,64683.156614314175,47840.05139690428,47.84938482732525,322.42984558581486,20407.152656618597,16529.79365186107,2645.3602722237297,4396.077572160233,48162.481242490096,11330.292364092647,0.0,0.0,0.0,7149.229228601468,6215.175376019836,980.3952499999999,3887.7891036852907,53.776749959685844,0.0,8111.027307703449,10304.188176913476,235.3651155964668
2025-09-05,10800.0,10604.722429267269,40879.65997660869,36260.74571920568,23715.354315057546,0.0,0.0,19865.05784398185,16090.6968536253,22768.46288481095,2929.6889940381843,23715.354315057546,5522.807097675146,0.0,1045.580860076701,644.9651166666667,6509.965956855107,8682.870459792355,0.0,0.0,0.0,0.0,6485.254916666667,10320.247188930909,2049.8951200268266
2025-09-06,10604.722429267269,10800.0,41079.64545499069,37411.628879730975,24251.230941332054,0.0,0.0,20258.53246107882,16409.41129347385,21528.541897490366,4116.541897968986,24251.230941332054,5608.099664215467,216.97507859192328,1365.86096041812,176.1039166666667,6867.851340650403,9988.972998232746,0.0,0.0,0.0,0.0,6429.421433333333,10093.455546179413,1746.2775590719964
2025-09-07,10800.0,10764.87758589061,69587.85748425724,66942.54293209701,49771.78476151245,0.0,0.0,20126.634593282586,16302.574020558895,4585.447372725057,3580.0428533149397,49771.78476151245,11514.312869641532,0.0,0.0,0.0,6588.430622803161,7107.302016666668,1463.9639166666666,2833.925809839293,0.0,0.0,8140.256903703155,10146.381862210636,109.92257738591206
