date,issue_hour,prefix_mean_residual,prefix_median_residual,prefix_last6_mean_residual,prefix_mean_scale,prefix_median_scale,prefix_last6_mean_scale,prefix_scale_valid_slots,future_mean_residual,future_median_residual,future_mean_scale,future_median_scale,future_scale_valid_slots
2025-10-17,18,-29.836037037037,-36.8492999999999,-160.941366666667,0.99073544045837,0.987706296609079,0.942162085868681,108,18.1151805555556,26.46675,1.00843965904153,1.00949090577877,36
2025-10-18,6,24.6263138888889,-28.0029999999999,11.8067333333333,1.01151121377394,0.989172515824781,1.00494814177966,36,-15.6678435185185,-52.6171499999998,0.996229043476889,0.985356279368411,108
2025-10-18,12,-3.92487777777778,-39.8423999999998,-71.2847666666667,1.00128054639875,0.986209149965465,0.980383210057382,72,-7.26373055555554,-34.6076,0.998818625703556,0.99036881605506,72
2025-10-18,18,2.51341203703704,-31.9133000000002,-95.4452166666667,1.00229254528748,0.990078922182496,0.964988406950038,108,-29.9174527777778,-71.1401499999999,0.993320708342176,0.972870342637609,36
2025-10-19,6,52.4703472222222,34.57855,40.6940999999999,1.01556960729758,1.00983768464085,1.00906192425359,36,-1.83104907407411,-8.29814999999962,0.999094852578293,0.998564988395412,108
2025-10-19,12,16.3134749999999,-0.804599999999709,-79.8247500000001,1.00646030960301,1.00054273530832,0.987548681183683,72,7.17512500000003,18.39725,0.99996677291322,1.003159376694,72
2025-10-19,18,18.9942898148148,11.0338000000002,-14.3766833333333,1.00560612757041,1.00271239360662,0.996350704040842,108,-10.0056694444445,8.18250000000035,0.996035782321229,1.00183590824807,36
2025-10-20,6,-11.55095,-35.905,-37.1539666666667,0.997989558839588,0.989842717869052,0.992358070481772,36,16.3816953703704,18.4855499999999,1.00460050175826,1.00338175948968,108
2025-10-20,12,-11.9573,-45.3800000000001,54.9242666666669,0.998384717293179,0.992476520788463,1.00928138979469,72,30.7543680555556,40.5397499999999,1.007510814764,1.00725871143116,72
2025-10-20,18,1.45569259259263,-11.2307999999998,-75.6716833333333,1.00041753181627,0.998165198203582,0.986057052633002,108,33.2270583333333,48.4829500000001,1.01053846866554,1.01124500926925,36
2025-10-21,6,0.375177777777733,20.0751,157.436466666667,0.999733795697978,1.00534622707519,1.03818802568181,36,-12.9795148148148,-14.5599999999995,0.997139613330715,0.99751705217863,108
2025-10-21,12,-17.6228902777778,-17.5110999999999,-5.26396666666657,0.996603518131516,0.996681801409869,0.999269179313561,72,-1.65879305555555,-10.2153000000003,0.998972799713545,0.998188349057613,72
2025-10-21,18,-2.04435740740744,6.73490000000015,21.8066333333331,0.999379758986922,1.00109926453218,1.00339051937908,108,-32.4302944444445,-65.5436500000001,0.993013358729355,0.985067620587978,36
2025-10-22,6,-19.6066444444445,9.41000000000008,81.0157833333332,0.994806789228661,1.00260906216825,1.01985055997992,36,24.841424074074,16.4662499999997,1.00562433202503,1.00315046483318,108
2025-10-22,12,10.9143763888889,12.7699999999995,80.71695,1.0007853543419,1.00270924656373,1.01350449509809,72,16.5444374999999,16.4662499999997,1.00505453830997,1.00370735689285,72
2025-10-22,18,5.85115185185181,-0.303650000000289,-19.5659333333335,1.00049824934804,0.999970064616664,0.998636916321956,108,37.3641722222222,61.7350000000001,1.01018503725963,1.01804755271029,36
2025-10-23,6,-34.8469583333333,-14.4190999999998,-86.0217333333333,0.990857906545492,0.995940923320321,0.978509529984021,36,-17.3432814814815,-37.0806500000001,0.997932097343949,0.993994725892302,108
2025-10-23,12,-50.6472180555555,-38.6774,-96.6572833333333,0.989975254586946,0.99245623222824,0.984693588585219,72,7.20881666666667,-8.77944999999977,1.00235184470172,0.997748759504378,72
2025-10-23,18,-21.5580740740741,-15.3396,109.485116666667,0.995488476068866,0.996067494115156,1.02022912695869,108,-22.2025805555556,-57.85555,0.998188770370742,0.984548195102822,36
2025-10-24,6,17.195075,11.9992499999998,151.965883333333,1.00690349595524,1.0048335548604,1.05715125288012,36,4.95419722222222,-2.21384999999987,1.00370905405582,0.999288936557856,108
2025-10-24,12,2.89292361111111,1.06920000000014,58.4834833333333,1.0022372478485,1.00050810785907,1.01621004512185,72,13.1359097222222,15.8983000000001,1.00677808121285,1.00466670852718,72
2025-10-24,18,5.85778425925926,11.0799999999999,49.8963833333333,1.00345892302595,1.00353803810771,1.02031759690332,108,14.4843138888889,-8.65820000000008,1.00765388904486,0.996691970883922,36
2025-10-25,6,-12.6502722222222,-47.5034500000002,18.15525,0.996888116704068,0.982020132962024,1.00822846337183,36,25.6659546296296,38.71,1.00986624244847,1.01373932269354,108
2025-10-25,12,7.42247916666668,-4.57330000000002,53.0270999999999,1.00217930409311,0.998774058157309,1.01622698628607,72,24.7513166666666,35.5091500000001,1.01106411793163,1.01422031544111,72
2025-10-25,18,5.68327222222222,5.8578500000001,103.275883333333,1.00248379364487,1.00191403996972,1.04088273927699,108,47.297775,55.0069000000001,1.01903546311486,1.02125610355723,36
2025-10-26,6,-3.26625555555552,4.69470000000001,-65.816583333333,1.00053036060973,1.00127719281117,0.985230770341434,36,-30.5169722222222,-26.2600000000002,0.99381040198399,0.995229028868299,108
2025-10-26,12,-4.70516527777772,-0.25240000000008,-65.7266999999999,0.999587587732075,0.999927938903508,0.98977444744371,72,-42.7034208333333,-37.6949999999999,0.991393195548776,0.991564947196155,72
2025-10-26,18,-8.59155185185181,-6.34469999999965,155.948283333334,0.999244035837132,0.998917007718378,1.03056145993939,108,-69.0425166666666,-72.7383999999997,0.984229459050308,0.983215650832234,36
2025-10-27,6,12.6271722222223,13.7356500000003,31.4897500000002,1.00389947078042,1.00388277656192,1.00642793045296,36,-10.473187037037,-12.8169500000001,0.997417257523783,0.997245659966449,108
2025-10-27,12,10.8046652777778,3.40080000000012,-28.0658833333334,1.00246109416494,1.00088348622979,0.995680369193762,72,-20.2008597222222,-28.2000000000003,0.995614527510944,0.994791619344831,72
2025-10-27,18,3.0985314814815,1.2461500000004,36.1030166666666,1.00096097834852,1.0002314450997,1.00448978813991,108,-28.0879833333333,-32.8858,0.993268308306198,0.992484960418808,36
2025-10-28,6,-7.12138888888892,29.03,-181.607116666667,0.999778714037966,1.00837255905954,0.955310878084336,36,-13.5542138888889,-2.03420000000006,0.99714922787382,0.99960400354504,108
2025-10-28,12,-23.6352333333333,-7.79579999999987,-71.1772833333333,0.996771445363609,0.998530620080639,0.988681996474118,72,-0.256781944444463,6.13365000000022,0.998841753466104,1.00142068993254,72
2025-10-28,18,-10.0424583333333,5.17849999999999,-63.7940333333331,0.998700225770999,1.00143286931791,0.987735625226083,108,-17.6566555555556,1.12644999999975,0.99512572034643,1.00025797708076,36
2025-10-29,6,-23.3528138888889,-38.9453500000002,0.422150000000101,0.994686294122992,0.989169388396971,1.00323484342798,36,10.5413814814815,18.08385,1.00186576259265,1.00278213465317,108
2025-10-29,12,-13.1641930555556,-15.4983499999998,11.3484666666668,0.997059413323973,0.995596574422149,1.00170142014687,72,17.2998583333334,30.5235500000001,1.00308237762649,1.00581368044917,72
2025-10-29,18,4.10489166666669,8.13360000000011,61.1609166666666,1.00018065922031,1.00130177687475,1.01032502095433,108,-4.04334444444445,16.33475,0.999741604239994,1.00395100669313,36
2025-10-30,6,-31.4886805555556,-39.7399,-45.4697166666666,0.992539646142441,0.988774366244749,0.987344620816933,36,-5.94515925925931,17.9795499999996,1.00005295466188,1.00341275741631,108
2025-10-30,12,-20.3854111111111,-13.4616000000003,-17.4807333333333,0.996021696393472,0.996506457348643,0.997337559315466,72,-4.27666805555563,20.0061500000002,1.00032755867057,1.00401365323113,72
2025-10-30,18,-21.4151861111112,3.13029999999981,-7.66313333333331,0.996164013321314,1.00054133801329,0.99914982559419,108,14.9214,4.16594999999984,1.00420647016415,1.00132663958076,36
2025-10-31,6,-2.4227611111111,-6.27120000000014,-35.6790000000002,1.000980852506,0.997689514465016,0.989844070494637,36,-20.6662740740741,-25.2498499999999,0.993764356969252,0.992672742640868,108
2025-10-31,12,-1.66652083333335,-3.04950000000008,-115.634933333333,1.00134254458449,0.99904206914313,0.969729051619446,72,-30.5442708333333,-32.9425000000001,0.989794417122388,0.988663184356072,72
2025-10-31,18,-8.62221481481482,-11.9537500000001,-66.4649333333333,0.998558799733468,0.996181309316069,0.975022558671099,108,-38.5549388888889,-32.9425000000001,0.986597524213348,0.987617714024283,36
2025-11-01,6,17.599575,-13.7626000000002,46.51215,1.00922581934178,0.994650104958757,1.01991325263332,36,-9.67638703703703,-19.41705,0.996691519212604,0.994517835356928,108
2025-11-01,12,24.3670791666667,21.0188499999999,22.6552500000001,1.00923106303727,1.00786262692701,1.00663574422655,72,-30.0818722222222,-37.24405,0.990419125452525,0.988297220072437,72
2025-11-01,18,14.4929212962963,-6.50999999999976,-69.0867,1.00598300863686,0.998162921077244,0.976090503371011,108,-54.90835,-38.2425000000001,0.981351351069009,0.985106039133398,36
2025-11-02,6,18.7365722222222,-7.45520000000033,60.9278166666665,1.00578876782966,0.998198372835498,1.01885808444279,36,17.137362962963,26.1147999999998,1.00423994312171,1.00486106660856,108
2025-11-02,12,21.6145069444444,25.3631,60.8652,1.00537114778803,1.00488246004125,1.00993306324536,72,13.4598236111111,10.0185999999999,1.00388315080936,1.00170256815959,72
2025-11-02,18,7.48301574074071,13.52115,-185.939033333334,1.00234840730255,1.00218651749588,0.966197615802998,108,47.6996138888889,63.9481500000002,1.01146337528712,1.01491242611612,36
2025-11-03,6,33.2098111111111,30.6426999999999,52.5800333333332,1.01037471436556,1.00852857138248,1.01784071283114,36,-10.0504527777779,-8.83449999999993,0.998366891048227,0.998586580170825,108
2025-11-03,12,3.65792361111105,21.0482500000001,-74.7937833333335,1.00322540831155,1.00510929648872,0.988794109720124,72,-2.1286972222223,-8.50499999999965,0.999512285443574,0.998602746782022,72
2025-11-03,18,11.3339157407407,17.1801499999999,74.3180833333333,1.00394747309053,1.00434580437824,1.0178739211701,108,-30.9432944444446,-35.6093500000002,0.993632968238648,0.99107759621823,36
2025-11-04,6,-9.39591666666661,-2.86514999999986,112.79175,0.997435416570446,0.999398669823737,1.02896355274712,36,-3.39769814814813,22.402,1.00173367027458,1.00357615567251,108
2025-11-04,12,-19.9052527777777,-18.98,-106.179583333334,0.996906115423516,0.996642198029275,0.98380010462745,72,10.1107472222222,48.6097000000004,1.00441209827358,1.00856749197185,72
2025-11-04,18,-22.2653314814814,-30.1547,176.639466666667,0.996838512117826,0.994954050440559,1.03207386483197,108,47.2069833333333,73.3896500000003,1.01212089104071,1.01898101863807,36
2025-11-05,6,36.6102444444444,53.2368000000001,6.43396666666657,1.01182006415216,1.01307088544867,1.00173102157908,36,-9.82602037037037,-4.52939999999967,0.998791200882616,0.998943810509632,108
2025-11-05,12,28.5560402777777,36.4300499999999,-42.3703500000003,1.00855247853892,1.00721334560453,0.993503990858623,72,-24.9899486111111,-12.7941499999997,0.995544354861087,0.997720076354727,72
2025-11-05,18,13.387362037037,19.0535499999996,-63.3863166666665,1.00487522147886,1.00319112241582,0.990147910088249,108,-33.0299027777777,-38.5496500000002,0.993568002363421,0.98999473229292,36
2025-11-06,6,44.4091222222223,51.2268500000002,163.531883333333,1.01328850400559,1.0145264407228,1.04543317952518,36,29.4760462962963,13.9286999999999,1.0058530618884,1.00223686024337,108
2025-11-06,12,50.4794763888889,32.4000000000001,104.329866666667,1.01124736527837,1.00590342956186,1.01747994018002,72,15.9391541666667,3.4072500000002,1.00417647955702,1.00061624227687,72
2025-11-06,18,32.6852092592593,13.9286999999999,-48.5906500000001,1.00746884752063,1.00221103081178,0.991948218974298,108,34.7816333333334,45.5215000000001,1.0084411471089,1.01178346484002,36
2025-11-07,6,11.5858777777777,1.20014999999989,-79.2980500000001,1.00597322910156,1.00046852727507,0.972133561827137,36,21.8819092592593,21.6793499999999,1.00922643396793,1.00693137326396,108
2025-11-07,12,21.8086708333333,20.8259,-7.52239999999991,1.00876417093382,1.00601757352386,0.999088686183139,72,16.8071319444444,19.9802999999997,1.00806209456886,1.00623100550396,72
2025-11-07,18,27.4506722222222,26.3435500000001,201.93525,1.01084184698634,1.00832292338673,1.07962124646397,108,-5.12041111111108,-33.9992999999999,1.00112699004633,0.987849851937662,36
2025-11-08,6,-25.5452666666666,-9.5,-95.8400666666666,0.993339950925664,0.99633070901011,0.96549883276591,36,11.8849407407407,7.91840000000002,1.00503880785066,1.00241635213967,108
2025-11-08,12,-9.46044305555554,-0.132550000000037,-0.11596666666666,0.999233579294804,0.999969225831579,0.99995224832839,72,14.5152208333333,16.0724,1.00499460794401,1.00581759210026,72
2025-11-08,18,1.26998425925926,9.04320000000007,-3.57274999999989,1.00176992131346,1.00268335438376,0.999742625812556,108,6.2996027777778,-21.2936999999999,1.00314661053726,0.993266860375055,36
2025-11-09,6,-24.7181916666666,-13.0299,-8.21141666666661,0.993521972389397,0.996371984432128,0.996530723147776,36,10.1523888888889,7.34675000000016,1.00168341930874,1.00116699787608,108
