policy_id,a_kwh,cancellation_cost_yuan,charge_bus_kwh,date,discharge_bus_kwh,effective_issue,emergency_cost_yuan,emergency_kwh,g0_kwh,grid_unused_kwh,grid_used_kwh,increase_cost_yuan,load_kw,physical_interval_end,physical_interval_start,price_yuan_per_kwh,pv_actual_kw,pv_curtailment_kwh,retained_cost_yuan,slot_id,soc_end_kwh,soc_roundoff_adjustment_kwh,soc_start_kwh,total_cost_yuan
P3_MAIN_MEAN_ROLLOUT_061218,0,0,313.82720000000018,2025-08-24,0,2025-08-24T06:00:00,0,0,0,0,0,0,6710.6306999999997,2025-08-24T10:20:00,2025-08-24T10:10:00,0.95879999999999999,8593.5938999999998,-0,0,62,3764.3169136882757,0,3481.8724336882756,0
P3_MAIN_MEAN_ROLLOUT_061218,0,0,382.86833333333334,2025-08-24,0,2025-08-24T06:00:00,0,0,0,0,0,0,6591.79,2025-08-24T10:30:00,2025-08-24T10:20:00,0.95489999999999997,8889,-0,0,63,4108.8984136882755,0,3764.3169136882757,0
P3_MAIN_MEAN_ROLLOUT_061218,0,0,331.25340000000028,2025-08-24,0,2025-08-24T06:00:00,0,0,0,0,0,0,6803.9714999999997,2025-08-24T10:40:00,2025-08-24T10:30:00,0.9839,8791.4919000000009,-0,0,64,4407.0264736882755,0,4108.8984136882755,0
P3_MAIN_MEAN_ROLLOUT_061218,0,0,389.66680000000019,2025-08-24,0,2025-08-24T06:00:00,0,0,0,0,0,0,6703.0420999999997,2025-08-24T10:50:00,2025-08-24T10:40:00,0.79900000000000004,9041.0429000000004,-0,0,65,4757.7265936882759,0,4407.0264736882755,0
P3_MAIN_MEAN_ROLLOUT_061218,0,0,501.06416666666678,2025-08-24,0,2025-08-24T06:00:00,0,0,0,0,0,0,6486.4399999999996,2025-08-24T11:00:00,2025-08-24T10:50:00,0.50249999999999995,9492.8250000000007,-0,0,66,5208.6843436882764,0,4757.7265936882759,0
P3_MAIN_MEAN_ROLLOUT_061218,0,0,387.21766666666645,2025-08-24,0,2025-08-24T06:00:00,0,0,0,0,0,0,6917.7588999999998,2025-08-24T11:10:00,2025-08-24T11:00:00,0.4662,9241.0648999999994,-0,0,67,5557.1802436882763,0,5208.6843436882764,0
P3_MAIN_MEAN_ROLLOUT_061218,0,0,391.45669999999996,2025-08-24,0,2025-08-24T06:00:00,0,0,0,0,0,0,6916.4513999999999,2025-08-24T11:20:00,2025-08-24T11:10:00,0.50070000000000003,9265.1916000000001,-0,0,68,5909.4912736882761,0,5557.1802436882763,0
P3_MAIN_MEAN_ROLLOUT_061218,0,0,547.2479166666667,2025-08-24,0,2025-08-24T06:00:00,0,0,0,0,0,0,6455.1499999999996,2025-08-24T11:30:00,2025-08-24T11:20:00,0.48270000000000002,9738.6375000000007,-0,0,69,6402.0143986882758,0,5909.4912736882761,0
P3_MAIN_MEAN_ROLLOUT_061218,0,0,539.29108333333329,2025-08-24,0,2025-08-24T06:00:00,0,0,0,0,0,0,6589.3828999999996,2025-08-24T11:40:00,2025-08-24T11:30:00,0.47849999999999998,9825.1293999999998,-0,0,70,6887.3763736882756,0,6402.0143986882758,0
P3_MAIN_MEAN_ROLLOUT_061218,0,0,525.41528333333326,2025-08-24,0,2025-08-24T06:00:00,0,0,0,0,0,0,6646.3748999999998,2025-08-24T11:50:00,2025-08-24T11:40:00,0.4662,9798.8665999999994,-0,0,71,7360.2501286882753,0,6887.3763736882756,0
