slot_id,source_sheet,source_column,source_cell,raw_time_value,raw_time_type,raw_time_number_format,time_marker_normalized
96,小区负载,CS,CS1,0.66666666666666596,excel_numeric_time_serial,h:mm,16:00
97,小区负载,CT,CT1,0.67361111111111105,excel_numeric_time_serial,h:mm,16:10
98,小区负载,CU,CU1,0.68055555555555503,excel_numeric_time_serial,h:mm,16:20
99,小区负载,CV,CV1,0.687499999999999,excel_numeric_time_serial,h:mm,16:30
100,小区负载,CW,CW1,0.69444444444444398,excel_numeric_time_serial,h:mm,16:40
101,小区负载,CX,CX1,0.70138888888888795,excel_numeric_time_serial,h:mm,16:50
102,小区负载,CY,CY1,0.70833333333333304,excel_numeric_time_serial,h:mm,17:00
103,小区负载,CZ,CZ1,0.71527777777777701,excel_numeric_time_serial,h:mm,17:10
104,小区负载,DA,DA1,0.72222222222222199,excel_numeric_time_serial,h:mm,17:20
105,小区负载,DB,DB1,0.72916666666666596,excel_numeric_time_serial,h:mm,17:30
106,小区负载,DC,DC1,0.73611111111111105,excel_numeric_time_serial,h:mm,17:40
107,小区负载,DD,DD1,0.74305555555555503,excel_numeric_time_serial,h:mm,17:50
108,小区负载,DE,DE1,0.749999999999999,excel_numeric_time_serial,h:mm,18:00
109,小区负载,DF,DF1,0.75694444444444398,excel_numeric_time_serial,h:mm,18:10
110,小区负载,DG,DG1,0.76388888888888795,excel_numeric_time_serial,h:mm,18:20
111,小区负载,DH,DH1,0.77083333333333304,excel_numeric_time_serial,h:mm,18:30
112,小区负载,DI,DI1,0.77777777777777701,excel_numeric_time_serial,h:mm,18:40
113,小区负载,DJ,DJ1,0.78472222222222199,excel_numeric_time_serial,h:mm,18:50
114,小区负载,DK,DK1,0.79166666666666596,excel_numeric_time_serial,h:mm,19:00
115,小区负载,DL,DL1,0.79861111111111105,excel_numeric_time_serial,h:mm,19:10
116,小区负载,DM,DM1,0.80555555555555503,excel_numeric_time_serial,h:mm,19:20
117,小区负载,DN,DN1,0.812499999999999,excel_numeric_time_serial,h:mm,19:30
118,小区负载,DO,DO1,0.81944444444444398,excel_numeric_time_serial,h:mm,19:40
119,小区负载,DP,DP1,0.82638888888888795,excel_numeric_time_serial,h:mm,19:50
120,小区负载,DQ,DQ1,0.83333333333333304,excel_numeric_time_serial,h:mm,20:00
121,小区负载,DR,DR1,0.84027777777777701,excel_numeric_time_serial,h:mm,20:10
122,小区负载,DS,DS1,0.84722222222222199,excel_numeric_time_serial,h:mm,20:20
123,小区负载,DT,DT1,0.85416666666666596,excel_numeric_time_serial,h:mm,20:30
124,小区负载,DU,DU1,0.86111111111111105,excel_numeric_time_serial,h:mm,20:40
125,小区负载,DV,DV1,0.86805555555555503,excel_numeric_time_serial,h:mm,20:50
126,小区负载,DW,DW1,0.874999999999999,excel_numeric_time_serial,h:mm,21:00
127,小区负载,DX,DX1,0.88194444444444398,excel_numeric_time_serial,h:mm,21:10
128,小区负载,DY,DY1,0.88888888888888795,excel_numeric_time_serial,h:mm,21:20
129,小区负载,DZ,DZ1,0.89583333333333304,excel_numeric_time_serial,h:mm,21:30
130,小区负载,EA,EA1,0.90277777777777701,excel_numeric_time_serial,h:mm,21:40
131,小区负载,EB,EB1,0.90972222222222199,excel_numeric_time_serial,h:mm,21:50
132,小区负载,EC,EC1,0.91666666666666596,excel_numeric_time_serial,h:mm,22:00
133,小区负载,ED,ED1,0.92361111111111105,excel_numeric_time_serial,h:mm,22:10
134,小区负载,EE,EE1,0.93055555555555503,excel_numeric_time_serial,h:mm,22:20
135,小区负载,EF,EF1,0.937499999999999,excel_numeric_time_serial,h:mm,22:30
136,小区负载,EG,EG1,0.94444444444444398,excel_numeric_time_serial,h:mm,22:40
137,小区负载,EH,EH1,0.95138888888888795,excel_numeric_time_serial,h:mm,22:50
138,小区负载,EI,EI1,0.95833333333333304,excel_numeric_time_serial,h:mm,23:00
139,小区负载,EJ,EJ1,0.96527777777777701,excel_numeric_time_serial,h:mm,23:10
140,小区负载,EK,EK1,0.97222222222222199,excel_numeric_time_serial,h:mm,23:20
141,小区负载,EL,EL1,0.97916666666666596,excel_numeric_time_serial,h:mm,23:30
142,小区负载,EM,EM1,0.98611111111111105,excel_numeric_time_serial,h:mm,23:40
143,小区负载,EN,EN1,0.99305555555555558,excel_numeric_time_serial,h:mm,23:50
144,小区负载,EO,EO1,0:00+1,shared_string_text,h:mm,0:00+1
1,光伏发电实际功率,B,B1,6.9444444444444441E-3,excel_numeric_time_serial,h:mm,0:10
2,光伏发电实际功率,C,C1,1.3888888888888888E-2,excel_numeric_time_serial,h:mm,0:20
3,光伏发电实际功率,D,D1,2.0833333333333301E-2,excel_numeric_time_serial,h:mm,0:30
4,光伏发电实际功率,E,E1,2.77777777777777E-2,excel_numeric_time_serial,h:mm,0:40
5,光伏发电实际功率,F,F1,3.4722222222222203E-2,excel_numeric_time_serial,h:mm,0:50
6,光伏发电实际功率,G,G1,4.1666666666666602E-2,excel_numeric_time_serial,h:mm,1:00
7,光伏发电实际功率,H,H1,4.8611111111111098E-2,excel_numeric_time_serial,h:mm,1:10
8,光伏发电实际功率,I,I1,5.5555555555555497E-2,excel_numeric_time_serial,h:mm,1:20
9,光伏发电实际功率,J,J1,6.25E-2,excel_numeric_time_serial,h:mm,1:30
10,光伏发电实际功率,K,K1,6.9444444444444406E-2,excel_numeric_time_serial,h:mm,1:40
11,光伏发电实际功率,L,L1,7.6388888888888895E-2,excel_numeric_time_serial,h:mm,1:50
12,光伏发电实际功率,M,M1,8.3333333333333301E-2,excel_numeric_time_serial,h:mm,2:00
13,光伏发电实际功率,N,N1,9.0277777777777707E-2,excel_numeric_time_serial,h:mm,2:10
14,光伏发电实际功率,O,O1,9.7222222222222293E-2,excel_numeric_time_serial,h:mm,2:20
15,光伏发电实际功率,P,P1,0.104166666666667,excel_numeric_time_serial,h:mm,2:30
16,光伏发电实际功率,Q,Q1,0.11111111111111099,excel_numeric_time_serial,h:mm,2:40
17,光伏发电实际功率,R,R1,0.118055555555555,excel_numeric_time_serial,h:mm,2:50
18,光伏发电实际功率,S,S1,0.125,excel_numeric_time_serial,h:mm,3:00
19,光伏发电实际功率,T,T1,0.131944444444444,excel_numeric_time_serial,h:mm,3:10
20,光伏发电实际功率,U,U1,0.13888888888888801,excel_numeric_time_serial,h:mm,3:20
21,光伏发电实际功率,V,V1,0.14583333333333301,excel_numeric_time_serial,h:mm,3:30
22,光伏发电实际功率,W,W1,0.15277777777777701,excel_numeric_time_serial,h:mm,3:40
23,光伏发电实际功率,X,X1,0.15972222222222199,excel_numeric_time_serial,h:mm,3:50
24,光伏发电实际功率,Y,Y1,0.16666666666666599,excel_numeric_time_serial,h:mm,4:00
25,光伏发电实际功率,Z,Z1,0.17361111111111099,excel_numeric_time_serial,h:mm,4:10
26,光伏发电实际功率,AA,AA1,0.180555555555555,excel_numeric_time_serial,h:mm,4:20
27,光伏发电实际功率,AB,AB1,0.1875,excel_numeric_time_serial,h:mm,4:30
28,光伏发电实际功率,AC,AC1,0.194444444444444,excel_numeric_time_serial,h:mm,4:40
29,光伏发电实际功率,AD,AD1,0.20138888888888801,excel_numeric_time_serial,h:mm,4:50
30,光伏发电实际功率,AE,AE1,0.20833333333333301,excel_numeric_time_serial,h:mm,5:00
31,光伏发电实际功率,AF,AF1,0.21527777777777701,excel_numeric_time_serial,h:mm,5:10
32,光伏发电实际功率,AG,AG1,0.22222222222222199,excel_numeric_time_serial,h:mm,5:20
33,光伏发电实际功率,AH,AH1,0.22916666666666599,excel_numeric_time_serial,h:mm,5:30
34,光伏发电实际功率,AI,AI1,0.23611111111111099,excel_numeric_time_serial,h:mm,5:40
35,光伏发电实际功率,AJ,AJ1,0.243055555555555,excel_numeric_time_serial,h:mm,5:50
