policy,date,start_slot,end_slot,start_time,end_time,emergency_kwh,slot_count
MAIN,2025-08-31,115,116,19:00,19:20,25.115570961719527,2
MAIN,2025-08-31,121,121,20:00,20:10,15.507860480859676,1
MAIN,2025-09-08,123,124,20:20,20:40,913.2038569473932,2
MAIN,2025-09-10,55,58,9:00,9:40,316.49833492641903,4
MAIN,2025-09-10,123,124,20:20,20:40,967.0575918819488,2
MAIN,2025-09-15,119,119,19:40,19:50,1.1717666666665991,1
MAIN,2025-09-16,116,116,19:10,19:20,8.238266666666732,1
MAIN,2025-09-17,55,58,9:00,9:40,253.558788267135,4
MAIN,2025-09-17,60,60,9:50,10:00,1.820590666666772,1
MAIN,2025-09-18,124,126,20:30,21:00,51.068442767448346,3
MAIN,2025-09-18,130,131,21:30,21:50,60.26520966941428,2
MAIN,2025-09-22,120,120,19:50,20:00,10.906666666666524,1
MAIN,2025-09-23,123,123,20:20,20:30,6.025847916406747,1
MAIN,2025-09-25,114,114,18:50,19:00,13.523775434816455,1
MAIN,2025-09-28,55,59,9:00,9:50,450.82394646371984,5
MAIN,2025-09-28,117,117,19:20,19:30,5.868333333333339,1
MAIN,2025-09-29,37,37,6:00,6:10,13.477904070166232,1
MAIN,2025-09-29,124,124,20:30,20:40,5.620383333333393,1
MAIN,2025-09-30,121,121,20:00,20:10,8.047655634860348,1
MAIN,2025-10-12,37,37,6:00,6:10,17.86471993257271,1
MAIN,2025-10-14,55,58,9:00,9:40,430.19441876393904,4
MAIN,2025-10-16,123,124,20:20,20:40,741.8540363296651,2
MAIN,2025-10-19,57,58,9:20,9:40,112.045629868747,2
MAIN,2025-10-19,124,125,20:30,20:50,349.27170182141646,2
MAIN,2025-10-19,129,129,21:20,21:30,20.862169695187617,1
MAIN,2025-10-20,57,61,9:20,10:10,510.4256438909162,5
MAIN,2025-10-22,61,62,10:00,10:20,54.09840061772336,2
MAIN,2025-10-27,37,37,6:00,6:10,19.74493333333328,1
MAIN,2025-10-27,124,124,20:30,20:40,124.2784004846933,1
MAIN,2025-10-29,62,63,10:10,10:30,43.70081148759591,2
MAIN,2025-10-29,124,124,20:30,20:40,667.835468785884,1
MAIN,2025-10-29,126,126,20:50,21:00,0.6821979155181452,1
MAIN,2025-10-30,37,37,6:00,6:10,3.6418333333332384,1
MAIN,2025-11-02,124,124,20:30,20:40,90.11091002612898,1
MAIN,2025-11-04,36,37,5:50,6:10,32.08616896468607,2
MAIN,2025-11-04,124,124,20:30,20:40,77.75364746349919,1
MAIN,2025-11-04,128,128,21:10,21:20,2.8371419208914403,1
MAIN,2025-11-06,57,64,9:20,10:40,1116.8980746326597,8
MAIN,2025-11-10,124,124,20:30,20:40,113.86496724333892,1
MAIN,2025-11-10,126,126,20:50,21:00,18.31988071024034,1
MAIN,2025-11-10,131,131,21:40,21:50,15.860009861440515,1
MAIN,2025-11-11,39,39,6:20,6:30,0.5138386165342581,1
MAIN,2025-11-13,37,37,6:00,6:10,1.064352774503618,1
MAIN,2025-11-13,124,124,20:30,20:40,71.2187713870311,1
MAIN,2025-11-19,36,36,5:50,6:00,1.384999999999991,1
MAIN,2025-11-19,63,64,10:20,10:40,182.6935678403359,2
MAIN,2025-11-24,37,37,6:00,6:10,18.83966666666652,1
MAIN,2025-11-26,37,37,6:00,6:10,32.99316666666664,1
MAIN,2025-11-30,37,37,6:00,6:10,6.062833333333401,1
MAIN,2025-12-01,37,37,6:00,6:10,58.5189783188963,1
MAIN,2025-12-01,48,49,7:50,8:10,113.3654333333334,2
MAIN,2025-12-01,55,65,9:00,10:50,3739.180446658228,11
MAIN,2025-12-01,124,124,20:30,20:40,223.90058182887051,1
MAIN,2025-12-02,37,37,6:00,6:10,92.55983333333324,1
MAIN,2025-12-02,48,50,7:50,8:20,198.38029428684277,3
MAIN,2025-12-02,56,65,9:10,10:50,4127.812810394288,10
MAIN,2025-12-02,124,124,20:30,20:40,665.0884356652009,1
MAIN,2025-12-02,128,129,21:10,21:30,21.815001146114582,2
MAIN,2025-12-03,48,48,7:50,8:00,7.667330950453675,1
MAIN,2025-12-03,60,62,9:50,10:20,554.1494620764503,3
MAIN,2025-12-03,64,64,10:30,10:40,33.74514138666628,1
MAIN,2025-12-03,126,126,20:50,21:00,1.027698401629095,1
MAIN,2025-12-04,37,37,6:00,6:10,61.18427605027364,1
MAIN,2025-12-04,48,50,7:50,8:20,113.87438557566644,3
MAIN,2025-12-04,57,65,9:20,10:50,2871.0772544883444,9
MAIN,2025-12-05,52,57,8:30,9:30,812.1244111990432,6
MAIN,2025-12-05,123,125,20:20,20:50,1047.9574886632795,3
MAIN,2025-12-06,50,59,8:10,9:50,1257.070513217508,10
MAIN,2025-12-06,121,125,20:00,20:50,2123.688963275906,5
MAIN,2025-12-06,127,128,21:00,21:20,47.87476150287108,2
MAIN,2025-12-07,48,49,7:50,8:10,117.6152408569036,2
MAIN,2025-12-07,60,64,9:50,10:40,1260.3060498041978,5
MAIN,2025-12-07,124,124,20:30,20:40,322.8620828909947,1
MAIN,2025-12-07,126,126,20:50,21:00,16.132680549763904,1
MAIN,2025-12-09,48,49,7:50,8:10,80.64994914153772,2
MAIN,2025-12-18,64,64,10:30,10:40,108.85647471737823,1
MAIN,2025-12-21,48,48,7:50,8:00,1.095642080771995,1
MAIN,2025-12-22,50,50,8:10,8:20,23.45914999999991,1
MAIN,2025-12-22,128,129,21:10,21:30,40.75549740631618,2
MAIN,2025-12-24,48,48,7:50,8:00,23.32926228168037,1
MAIN,2025-12-28,48,50,7:50,8:20,101.58181487417768,3
MAIN,2025-12-30,48,49,7:50,8:10,51.06310181231368,2
MAIN,2025-12-30,63,64,10:20,10:40,297.19966560123714,2
