forecast_branch,issue_hour,horizon_class,daylight,lead_hour,variable,sample_count,unavailable_count,mae_kw,rmse_kw,bias_kw,scope
NO_PREFIX,6,当日剩余,夜间,16,LOAD,2148,0,191.01056084729981,270.25680848552889,2.5372731378026048,发行—目标重叠记录，非独立样本
NO_PREFIX,6,当日剩余,夜间,16,PV,2148,0,0,0,0,发行—目标重叠记录，非独立样本
NO_PREFIX,6,当日剩余,夜间,17,LOAD,2148,0,193.17412337057729,267.13763148228884,1.8937530726256993,发行—目标重叠记录，非独立样本
NO_PREFIX,6,当日剩余,夜间,17,PV,2148,0,0,0,0,发行—目标重叠记录，非独立样本
NO_PREFIX,6,当日剩余,夜间,18,LOAD,2148,0,185.01200325884545,256.64225610233785,4.0148860335195504,发行—目标重叠记录，非独立样本
NO_PREFIX,6,当日剩余,夜间,18,PV,2148,0,0,0,0,发行—目标重叠记录，非独立样本
NO_PREFIX,6,当日剩余,白昼,1,LOAD,2148,0,154.76949995344506,203.77162081696341,2.5417285381750467,发行—目标重叠记录，非独立样本
NO_PREFIX,6,当日剩余,白昼,1,PV,2148,0,103.13981326039728,126.09456381452921,-27.00000144320299,发行—目标重叠记录，非独立样本
NO_PREFIX,6,当日剩余,白昼,2,LOAD,2148,0,163.4207717877095,215.85985528299216,1.8642656424580981,发行—目标重叠记录，非独立样本
NO_PREFIX,6,当日剩余,白昼,2,PV,2148,0,149.01389005276229,172.77953977049324,-141.83885600558665,发行—目标重叠记录，非独立样本
NO_PREFIX,6,当日剩余,白昼,3,LOAD,2148,0,159.2376455772812,212.36368963272488,3.736316247672236,发行—目标重叠记录，非独立样本
NO_PREFIX,6,当日剩余,白昼,3,PV,2148,0,193.01354361421485,231.39264168735752,-170.33609269087529,发行—目标重叠记录，非独立样本
NO_PREFIX,6,当日剩余,白昼,4,LOAD,2148,0,156.95668677839848,205.66452602281021,2.7224571694599575,发行—目标重叠记录，非独立样本
NO_PREFIX,6,当日剩余,白昼,4,PV,2148,0,235.04180169149606,297.54767003985143,-171.79316564245826,发行—目标重叠记录，非独立样本
NO_PREFIX,6,当日剩余,白昼,5,LOAD,2148,0,156.09080260707634,208.76143380128335,3.5704608938547477,发行—目标重叠记录，非独立样本
NO_PREFIX,6,当日剩余,白昼,5,PV,2148,0,286.90377207479833,358.39897289089993,-131.32412122905058,发行—目标重叠记录，非独立样本
NO_PREFIX,6,当日剩余,白昼,6,LOAD,2148,0,168.91869487895718,223.41264403359713,5.2365299813780259,发行—目标重叠记录，非独立样本
NO_PREFIX,6,当日剩余,白昼,6,PV,2148,0,340.64650085350718,440.11271253956494,-86.927336359404435,发行—目标重叠记录，非独立样本
NO_PREFIX,6,当日剩余,白昼,7,LOAD,2148,0,171.62049450651767,234.65305792387883,3.270404376163873,发行—目标重叠记录，非独立样本
NO_PREFIX,6,当日剩余,白昼,7,PV,2148,0,392.15682998913718,494.11999689487845,-59.009194134078612,发行—目标重叠记录，非独立样本
NO_PREFIX,6,当日剩余,白昼,8,LOAD,2148,0,173.53723277467412,234.71165242690049,4.5912897579143364,发行—目标重叠记录，非独立样本
NO_PREFIX,6,当日剩余,白昼,8,PV,2148,0,377.72423924581,476.06224097254318,3.7864822625694785,发行—目标重叠记录，非独立样本
NO_PREFIX,6,当日剩余,白昼,9,LOAD,2148,0,177.7624731378026,249.65152751368191,4.3207109404096746,发行—目标重叠记录，非独立样本
NO_PREFIX,6,当日剩余,白昼,9,PV,2148,0,355.27727643544381,444.23088453158539,52.089759357541666,发行—目标重叠记录，非独立样本
NO_PREFIX,6,当日剩余,白昼,10,LOAD,2148,0,178.59855176908749,250.09751095307607,3.6226704841713024,发行—目标重叠记录，非独立样本
NO_PREFIX,6,当日剩余,白昼,10,PV,2148,0,288.15376065332089,359.39453320762544,106.11125293296077,发行—目标重叠记录，非独立样本
NO_PREFIX,6,当日剩余,白昼,11,LOAD,2148,0,184.14891340782123,261.42734301194764,3.0175351024208386,发行—目标重叠记录，非独立样本
NO_PREFIX,6,当日剩余,白昼,11,PV,2148,0,210.42025072160149,262.62569661678367,145.63505339851017,发行—目标重叠记录，非独立样本
NO_PREFIX,6,当日剩余,白昼,12,LOAD,2148,0,190.92145465549345,268.37802964538923,2.4998164804469125,发行—目标重叠记录，非独立样本
NO_PREFIX,6,当日剩余,白昼,12,PV,2148,0,171.44522062383612,217.4412982168524,158.59236503724392,发行—目标重叠记录，非独立样本
NO_PREFIX,6,次日延续,夜间,19,LOAD,2142,6,177.57029295051353,247.63855691373254,2.3947692343604152,发行—目标重叠记录，非独立样本
NO_PREFIX,6,次日延续,夜间,19,PV,2142,6,0,0,0,发行—目标重叠记录，非独立样本
NO_PREFIX,6,次日延续,夜间,20,LOAD,2142,6,178.35735345471525,246.42007083744414,1.9725076097105512,发行—目标重叠记录，非独立样本
NO_PREFIX,6,次日延续,夜间,20,PV,2142,6,0,0,0,发行—目标重叠记录，非独立样本
NO_PREFIX,6,次日延续,夜间,21,LOAD,2142,6,171.30651288515404,236.05135288932254,2.9024241830065374,发行—目标重叠记录，非独立样本
NO_PREFIX,6,次日延续,夜间,21,PV,2142,6,0,0,0,发行—目标重叠记录，非独立样本
NO_PREFIX,6,次日延续,夜间,22,LOAD,2142,6,165.22907572362277,222.72877661756505,3.2654311858076559,发行—目标重叠记录，非独立样本
NO_PREFIX,6,次日延续,夜间,22,PV,2142,6,0.00075812324929971995,0.0034885948629279177,-0.00075812324929971995,发行—目标重叠记录，非独立样本
NO_PREFIX,6,次日延续,夜间,23,LOAD,2142,6,165.1681940242764,220.68289532539646,2.0357416433239988,发行—目标重叠记录，非独立样本
NO_PREFIX,6,次日延续,夜间,23,PV,2142,6,0.21413498288204172,0.82357375723205273,-0.044451820728291312,发行—目标重叠记录，非独立样本
