slot_id,time_mark,变量,样本数,均值,标准差,P10,P50,P90
121,20:10,load_kw,365,4282.224460273973,916.987020409215,2766.1593000000003,4356.0804,5605.4661
122,20:20,load_kw,365,4291.704944109589,906.186081054677,2784.74094,4361.9429,5578.32426
123,20:30,load_kw,365,4291.36106849315,910.4505318137275,2772.72,4354.38,5595.396000000001
124,20:40,load_kw,365,4293.918153424658,910.2313048496837,2821.16094,4357.5493,5583.77938
125,20:50,load_kw,365,4295.2135186301375,905.3609745679187,2806.14196,4349.1068,5641.991720000001
126,21:00,load_kw,365,4302.030712328767,903.0328156563517,2781.608,4377.21,5570.832
127,21:10,load_kw,365,4320.961825205479,906.303271213884,2816.55314,4391.6678,5602.915840000001
128,21:20,load_kw,365,4302.329183287671,902.5914388881589,2842.1307,4368.3422,5576.2697
129,21:30,load_kw,365,4322.675835616438,902.6600851763205,2849.196,4407.71,5593.302
130,21:40,load_kw,365,4428.808330136986,919.8824510465752,2904.20336,4519.7625,5767.2805
131,21:50,load_kw,365,4030.161435342466,819.8984087588693,2711.1325,4080.4444,5277.40602
132,22:00,load_kw,365,3362.7419452054796,677.9258471271575,2357.9100000000003,3316.38,4441.574
133,22:10,load_kw,365,3309.3933638356166,673.0922397458575,2321.4125599999998,3261.2988,4352.160360000001
134,22:20,load_kw,365,3412.9562613698627,686.2228679376519,2381.94414,3367.0094,4468.1835
135,22:30,load_kw,365,3381.931260273973,666.8678371555142,2429.736,3345.58,4383.220000000001
136,22:40,load_kw,365,3386.5592076712333,659.3112311784975,2432.01556,3342.9919,4411.264480000001
137,22:50,load_kw,365,3400.484604109589,652.5748268161195,2450.7037800000003,3365.3111,4439.579460000001
138,23:00,load_kw,365,3399.242602739727,639.6160859114385,2460.4500000000003,3370.93,4342.2880000000005
139,23:10,load_kw,365,3406.980872054795,631.2374409604461,2465.2448,3406.7664,4371.115360000001
140,23:20,load_kw,365,3416.1518219178083,628.386943954261,2472.23796,3427.6649,4389.392
141,23:30,load_kw,365,3421.981123287671,633.7377478453247,2463.72,3430.72,4403.904
142,23:40,load_kw,365,3429.692305205479,648.5228837250274,2425.34062,3457.4811,4454.645560000001
143,23:50,load_kw,365,3439.061013150685,578.4120408352801,2636.5579199999997,3420.0416,4336.92662
144,0:00+1,load_kw,365,3444.725890410959,626.7300815378925,2502.864,3455.21,4464.962
1,0:10,pv_actual_kw,365,0.0,0.0,0.0,0.0,0.0
2,0:20,pv_actual_kw,365,0.0,0.0,0.0,0.0,0.0
3,0:30,pv_actual_kw,365,0.0,0.0,0.0,0.0,0.0
4,0:40,pv_actual_kw,365,0.0,0.0,0.0,0.0,0.0
5,0:50,pv_actual_kw,365,0.0,0.0,0.0,0.0,0.0
6,1:00,pv_actual_kw,365,0.0,0.0,0.0,0.0,0.0
7,1:10,pv_actual_kw,365,0.0,0.0,0.0,0.0,0.0
8,1:20,pv_actual_kw,365,0.0,0.0,0.0,0.0,0.0
9,1:30,pv_actual_kw,365,0.0,0.0,0.0,0.0,0.0
10,1:40,pv_actual_kw,365,0.0,0.0,0.0,0.0,0.0
11,1:50,pv_actual_kw,365,0.0,0.0,0.0,0.0,0.0
12,2:00,pv_actual_kw,365,0.0,0.0,0.0,0.0,0.0
13,2:10,pv_actual_kw,365,0.0,0.0,0.0,0.0,0.0
14,2:20,pv_actual_kw,365,0.0,0.0,0.0,0.0,0.0
15,2:30,pv_actual_kw,365,0.0,0.0,0.0,0.0,0.0
16,2:40,pv_actual_kw,365,0.0,0.0,0.0,0.0,0.0
17,2:50,pv_actual_kw,365,0.0,0.0,0.0,0.0,0.0
18,3:00,pv_actual_kw,365,0.0,0.0,0.0,0.0,0.0
19,3:10,pv_actual_kw,365,0.00017534246575342467,0.0004759550323660447,0.0,0.0,0.0012
20,3:20,pv_actual_kw,365,3.9726027397260274e-05,0.00022807105964870895,0.0,0.0,0.0
21,3:30,pv_actual_kw,365,0.0,0.0,0.0,0.0,0.0
22,3:40,pv_actual_kw,365,0.0030569863013698633,0.00678794072192129,0.0,0.0,0.016320000000000005
23,3:50,pv_actual_kw,365,0.001176986301369863,0.0038040055107262933,0.0,0.0,0.0019200000000000046
24,4:00,pv_actual_kw,365,0.0,0.0,0.0,0.0,0.0
25,4:10,pv_actual_kw,365,0.04300739726027398,0.09441918473027722,0.0,0.0,0.22762000000000004
26,4:20,pv_actual_kw,365,0.016804931506849318,0.052893223124862644,0.0,0.0,0.026220000000000063
27,4:30,pv_actual_kw,365,0.0,0.0,0.0,0.0,0.0
28,4:40,pv_actual_kw,365,0.5993561643835617,1.3149468122559829,0.0,0.0,3.1709400000000008
29,4:50,pv_actual_kw,365,0.23451835616438363,0.7365539748561618,0.0,0.0,0.36514000000000085
30,5:00,pv_actual_kw,365,0.2884931506849315,1.3751093700087733,0.0,0.0,0.0
31,5:10,pv_actual_kw,365,18.678091506849313,40.80568111061857,0.0,0.0024,96.14010000000002
32,5:20,pv_actual_kw,365,54.469815890410956,102.13725763620101,0.0,0.0199,251.80780000000004
33,5:30,pv_actual_kw,365,108.97181506849313,179.78664964144602,0.0,0.0,437.26500000000004
34,5:40,pv_actual_kw,365,184.16027835616438,267.5958966891411,0.0,0.4258,640.45948
35,5:50,pv_actual_kw,365,277.05815561643834,365.2280088857034,0.0,3.5775,871.6337600000002
36,6:00,pv_actual_kw,365,388.5494178082192,469.11959129493926,0.0,0.0,1104.015
37,6:10,pv_actual_kw,365,521.280288219178,573.8174429355521,0.0,184.2092,1344.28848
38,6:20,pv_actual_kw,365,672.767730410959,679.69730092036,0.0,444.575,1610.28626
39,6:30,pv_actual_kw,365,844.2260958904109,783.5163043160738,0.0,721.2375,1882.8300000000004
40,6:40,pv_actual_kw,365,1039.6744279452055,876.9434991985632,0.0,995.86,2158.62054
41,6:50,pv_actual_kw,365,1259.3374832876711,963.6141542547057,0.0,1317.3711,2429.3016
42,7:00,pv_actual_kw,365,1508.631780821918,1032.4978330120275,37.739999999999995,1678.1625,2726.145
43,7:10,pv_actual_kw,365,1791.41066739726,1058.5558123911221,241.4088,2002.3413,3046.6587400000003
44,7:20,pv_actual_kw,365,2085.4864824657534,1065.5447269658293,503.64892,2320.1896,3354.34008
45,7:30,pv_actual_kw,365,2381.2610958904106,1069.7163769145286,773.1600000000001,2629.275,3639.48
46,7:40,pv_actual_kw,365,2683.175244657534,1070.231124636102,1064.64038,2943.1824,3955.11384
47,7:50,pv_actual_kw,365,2986.355155342466,1069.6906530138376,1357.5171799999998,3243.6188,4253.8989
48,8:00,pv_actual_kw,365,3289.2040068493147,1068.288997112246,1651.6725000000001,3496.725,4581.735000000001
49,8:10,pv_actual_kw,365,3593.361249863013,1063.365451143123,1942.62808,3803.8242,4825.714360000001
50,8:20,pv_actual_kw,365,3890.733173150685,1060.8848460374777,2264.6211,4091.6333,5158.01814
51,8:30,pv_actual_kw,365,4181.341746575342,1062.9980633384741,2579.355,4396.8,5421.12
52,8:40,pv_actual_kw,365,4471.765715342466,1061.0701112617146,2861.92688,4669.0965,5777.436180000001
53,8:50,pv_actual_kw,365,4752.8271715068495,1066.530524145306,3122.65902,4910.9583,6056.34544
54,9:00,pv_actual_kw,365,5021.907431506849,1079.1421866411595,3374.235,5195.175,6396.2475
55,9:10,pv_actual_kw,365,5285.4125512328765,1087.0183583843057,3644.9339,5434.705,6667.64314
56,9:20,pv_actual_kw,365,5543.1742345205475,1100.2400535206177,3899.65272,5737.1225,6908.153139999999
57,9:30,pv_actual_kw,365,5788.409280821918,1111.3501523200937,4124.985,6012.1125,7187.475000000001
58,9:40,pv_actual_kw,365,6012.130438630137,1098.2666029491759,4386.65818,6261.1907,7352.99038
59,9:50,pv_actual_kw,365,6216.152788493152,1089.1142227637552,4618.416,6431.727,7560.08258
60,10:00,pv_actual_kw,365,6409.594109589041,1096.051500650802,4764.4875,6601.425,7720.8825
61,10:10,pv_actual_kw,365,6599.380772602741,1091.1433365294447,4986.38428,6743.9122,7905.1230000000005
62,10:20,pv_actual_kw,365,6766.720371232877,1076.8152279652031,5206.3378,6937.145,8097.4472
63,10:30,pv_actual_kw,365,6914.592328767122,1074.640462746782,5353.545,7079.8875,8268.8775
64,10:40,pv_actual_kw,365,7064.205336164383,1088.612687838434,5494.21324,7258.8133,8437.00852
65,10:50,pv_actual_kw,365,7197.431476438357,1098.2028167661622,5634.08056,7374.4244,8577.376760000001
66,11:00,pv_actual_kw,365,7303.114212328767,1096.9941551136524,5682.3225,7489.0875,8656.8525
67,11:10,pv_actual_kw,365,7387.68475479452,1095.6110304221586,5738.6626400000005,7498.667,8708.450180000002
68,11:20,pv_actual_kw,365,7459.226967123287,1098.764181735392,5852.6375,7623.6845,8735.706
69,11:30,pv_actual_kw,365,7520.719109589041,1112.1904283724614,5884.485000000001,7697.5875,8843.880000000001
70,11:40,pv_actual_kw,365,7568.2038523287665,1130.66470175001,5967.89428,7765.986,8963.324560000001
71,11:50,pv_actual_kw,365,7592.153902739726,1133.0136496639223,6020.26828,7719.8453,9031.16532
72,12:00,pv_actual_kw,365,7601.043287671232,1130.0537644327212,5973.69,7694.025,9018.735
73,12:10,pv_actual_kw,365,7612.316028767123,1150.7740559246695,5965.49798,7780.3265,9040.12086
74,12:20,pv_actual_kw,365,7602.6524038356165,1157.8513205263678,5940.36556,7714.4945,9049.391380000001
75,12:30,pv_actual_kw,365,7554.187191780822,1145.1690673972917,5943.6525,7711.0875,8917.74
76,12:40,pv_actual_kw,365,7472.7384010958895,1147.4622920202662,5848.00876,7619.6393,8884.59536
77,12:50,pv_actual_kw,365,7393.417236986302,1142.7355675481447,5736.99216,7451.1877,8800.388140000001
78,13:00,pv_actual_kw,365,7312.79794520548,1122.2341169310628,5677.6275,7408.5,8690.67
79,13:10,pv_actual_kw,365,7194.541004931507,1107.4472321744367,5544.06062,7309.0588,8565.09738
80,13:20,pv_actual_kw,365,7053.1370657534235,1097.2226088955422,5445.10588,7134.6887,8465.4753
81,13:30,pv_actual_kw,365,6910.406404109589,1092.206050846873,5243.3925,7014.3375,8313.585000000001
82,13:40,pv_actual_kw,365,6772.407483013698,1102.2756886495415,5138.7243,6895.1608,8112.824920000001
83,13:50,pv_actual_kw,365,6607.36001150685,1103.8403427337198,4995.945299999999,6733.5899,7954.3571
84,14:00,pv_actual_kw,365,6412.50852739726,1091.7223304614909,4827.3975,6502.3875,7751.632500000001
85,14:10,pv_actual_kw,365,6214.015801095891,1085.5478962389716,4612.7535,6288.2667,7550.0127
86,14:20,pv_actual_kw,365,6000.711209315068,1079.9283589767465,4362.901220000001,6078.893,7326.91168
87,14:30,pv_actual_kw,365,5766.9815753424655,1072.9005003061861,4149.5175,5895.45,7119.7725
88,14:40,pv_actual_kw,365,5521.506580000001,1074.950728900023,3911.02062,5657.356,6864.716880000001
89,14:50,pv_actual_kw,365,5268.781015616438,1069.5189023153637,3631.895,5432.0634,6617.253280000001
90,15:00,pv_actual_kw,365,5009.715205479452,1058.9463904745924,3327.7275,5211.0375,6332.3775
91,15:10,pv_actual_kw,365,4743.448423835616,1057.5886393163062,3097.2931,4986.4788,6016.596920000001
