峰谷类型,slot_id,time_mark,日期数,占比
净负荷最大,15,2:30,0,0.0
净负荷最大,16,2:40,1,0.0027397260273972603
净负荷最大,17,2:50,0,0.0
净负荷最大,18,3:00,0,0.0
净负荷最大,19,3:10,0,0.0
净负荷最大,20,3:20,0,0.0
净负荷最大,21,3:30,1,0.0027397260273972603
净负荷最大,22,3:40,0,0.0
净负荷最大,23,3:50,0,0.0
净负荷最大,24,4:00,0,0.0
净负荷最大,25,4:10,0,0.0
净负荷最大,26,4:20,0,0.0
净负荷最大,27,4:30,0,0.0
净负荷最大,28,4:40,0,0.0
净负荷最大,29,4:50,1,0.0027397260273972603
净负荷最大,30,5:00,0,0.0
净负荷最大,31,5:10,0,0.0
净负荷最大,32,5:20,0,0.0
净负荷最大,33,5:30,0,0.0
净负荷最大,34,5:40,1,0.0027397260273972603
净负荷最大,35,5:50,2,0.005479452054794521
净负荷最大,36,6:00,1,0.0027397260273972603
净负荷最大,37,6:10,0,0.0
净负荷最大,38,6:20,0,0.0
净负荷最大,39,6:30,1,0.0027397260273972603
净负荷最大,40,6:40,0,0.0
净负荷最大,41,6:50,1,0.0027397260273972603
净负荷最大,42,7:00,13,0.03561643835616438
净负荷最大,43,7:10,3,0.00821917808219178
净负荷最大,44,7:20,0,0.0
净负荷最大,45,7:30,0,0.0
净负荷最大,46,7:40,0,0.0
净负荷最大,47,7:50,0,0.0
净负荷最大,48,8:00,0,0.0
净负荷最大,49,8:10,0,0.0
净负荷最大,50,8:20,0,0.0
净负荷最大,51,8:30,0,0.0
净负荷最大,52,8:40,0,0.0
净负荷最大,53,8:50,0,0.0
净负荷最大,54,9:00,0,0.0
净负荷最大,55,9:10,0,0.0
净负荷最大,56,9:20,0,0.0
净负荷最大,57,9:30,0,0.0
净负荷最大,58,9:40,0,0.0
净负荷最大,59,9:50,0,0.0
净负荷最大,60,10:00,0,0.0
净负荷最大,61,10:10,0,0.0
净负荷最大,62,10:20,0,0.0
净负荷最大,63,10:30,0,0.0
净负荷最大,64,10:40,0,0.0
净负荷最大,65,10:50,0,0.0
净负荷最大,66,11:00,0,0.0
净负荷最大,67,11:10,0,0.0
净负荷最大,68,11:20,0,0.0
净负荷最大,69,11:30,0,0.0
净负荷最大,70,11:40,0,0.0
净负荷最大,71,11:50,0,0.0
净负荷最大,72,12:00,0,0.0
净负荷最大,73,12:10,0,0.0
净负荷最大,74,12:20,0,0.0
净负荷最大,75,12:30,0,0.0
净负荷最大,76,12:40,0,0.0
净负荷最大,77,12:50,0,0.0
净负荷最大,78,13:00,0,0.0
净负荷最大,79,13:10,0,0.0
净负荷最大,80,13:20,0,0.0
净负荷最大,81,13:30,0,0.0
净负荷最大,82,13:40,0,0.0
净负荷最大,83,13:50,0,0.0
净负荷最大,84,14:00,0,0.0
净负荷最大,85,14:10,0,0.0
净负荷最大,86,14:20,0,0.0
净负荷最大,87,14:30,0,0.0
净负荷最大,88,14:40,0,0.0
净负荷最大,89,14:50,0,0.0
净负荷最大,90,15:00,0,0.0
净负荷最大,91,15:10,0,0.0
净负荷最大,92,15:20,0,0.0
净负荷最大,93,15:30,0,0.0
净负荷最大,94,15:40,0,0.0
净负荷最大,95,15:50,0,0.0
净负荷最大,96,16:00,0,0.0
净负荷最大,97,16:10,0,0.0
净负荷最大,98,16:20,0,0.0
净负荷最大,99,16:30,0,0.0
净负荷最大,100,16:40,0,0.0
净负荷最大,101,16:50,0,0.0
净负荷最大,102,17:00,4,0.010958904109589041
净负荷最大,103,17:10,4,0.010958904109589041
净负荷最大,104,17:20,3,0.00821917808219178
净负荷最大,105,17:30,6,0.01643835616438356
净负荷最大,106,17:40,215,0.589041095890411
净负荷最大,107,17:50,0,0.0
净负荷最大,108,18:00,0,0.0
净负荷最大,109,18:10,0,0.0
净负荷最大,110,18:20,0,0.0
净负荷最大,111,18:30,0,0.0
净负荷最大,112,18:40,0,0.0
净负荷最大,113,18:50,0,0.0
净负荷最大,114,19:00,2,0.005479452054794521
净负荷最大,115,19:10,2,0.005479452054794521
净负荷最大,116,19:20,3,0.00821917808219178
净负荷最大,117,19:30,1,0.0027397260273972603
净负荷最大,118,19:40,0,0.0
净负荷最大,119,19:50,2,0.005479452054794521
净负荷最大,120,20:00,4,0.010958904109589041
净负荷最大,121,20:10,2,0.005479452054794521
净负荷最大,122,20:20,3,0.00821917808219178
净负荷最大,123,20:30,11,0.030136986301369864
净负荷最大,124,20:40,1,0.0027397260273972603
净负荷最大,125,20:50,3,0.00821917808219178
净负荷最大,126,21:00,7,0.019178082191780823
净负荷最大,127,21:10,3,0.00821917808219178
净负荷最大,128,21:20,5,0.0136986301369863
净负荷最大,129,21:30,5,0.0136986301369863
净负荷最大,130,21:40,13,0.03561643835616438
净负荷最大,131,21:50,1,0.0027397260273972603
净负荷最大,132,22:00,0,0.0
净负荷最大,133,22:10,0,0.0
净负荷最大,134,22:20,0,0.0
净负荷最大,135,22:30,0,0.0
净负荷最大,136,22:40,0,0.0
净负荷最大,137,22:50,0,0.0
净负荷最大,138,23:00,0,0.0
净负荷最大,139,23:10,0,0.0
净负荷最大,140,23:20,0,0.0
净负荷最大,141,23:30,0,0.0
净负荷最大,142,23:40,0,0.0
净负荷最大,143,23:50,0,0.0
净负荷最大,144,0:00+1,40,0.1095890410958904
净负荷最小,1,0:10,0,0.0
净负荷最小,2,0:20,0,0.0
净负荷最小,3,0:30,0,0.0
净负荷最小,4,0:40,0,0.0
净负荷最小,5,0:50,0,0.0
净负荷最小,6,1:00,0,0.0
净负荷最小,7,1:10,0,0.0
净负荷最小,8,1:20,0,0.0
净负荷最小,9,1:30,0,0.0
净负荷最小,10,1:40,0,0.0
净负荷最小,11,1:50,0,0.0
净负荷最小,12,2:00,0,0.0
净负荷最小,13,2:10,0,0.0
净负荷最小,14,2:20,0,0.0
净负荷最小,15,2:30,0,0.0
净负荷最小,16,2:40,0,0.0
净负荷最小,17,2:50,0,0.0
净负荷最小,18,3:00,0,0.0
净负荷最小,19,3:10,0,0.0
净负荷最小,20,3:20,0,0.0
净负荷最小,21,3:30,0,0.0
净负荷最小,22,3:40,0,0.0
净负荷最小,23,3:50,0,0.0
净负荷最小,24,4:00,0,0.0
净负荷最小,25,4:10,0,0.0
净负荷最小,26,4:20,0,0.0
净负荷最小,27,4:30,0,0.0
净负荷最小,28,4:40,0,0.0
净负荷最小,29,4:50,0,0.0
净负荷最小,30,5:00,0,0.0
净负荷最小,31,5:10,0,0.0
净负荷最小,32,5:20,0,0.0
净负荷最小,33,5:30,0,0.0
净负荷最小,34,5:40,0,0.0
净负荷最小,35,5:50,0,0.0
净负荷最小,36,6:00,0,0.0
净负荷最小,37,6:10,0,0.0
净负荷最小,38,6:20,0,0.0
净负荷最小,39,6:30,0,0.0
净负荷最小,40,6:40,0,0.0
净负荷最小,41,6:50,0,0.0
净负荷最小,42,7:00,0,0.0
净负荷最小,43,7:10,0,0.0
净负荷最小,44,7:20,0,0.0
净负荷最小,45,7:30,0,0.0
净负荷最小,46,7:40,0,0.0
净负荷最小,47,7:50,0,0.0
净负荷最小,48,8:00,0,0.0
净负荷最小,49,8:10,0,0.0
净负荷最小,50,8:20,0,0.0
净负荷最小,51,8:30,0,0.0
净负荷最小,52,8:40,0,0.0
净负荷最小,53,8:50,0,0.0
净负荷最小,54,9:00,0,0.0
净负荷最小,55,9:10,0,0.0
净负荷最小,56,9:20,0,0.0
净负荷最小,57,9:30,0,0.0
净负荷最小,58,9:40,0,0.0
净负荷最小,59,9:50,0,0.0
净负荷最小,60,10:00,0,0.0
净负荷最小,61,10:10,0,0.0
净负荷最小,62,10:20,1,0.0027397260273972603
净负荷最小,63,10:30,1,0.0027397260273972603
净负荷最小,64,10:40,3,0.00821917808219178
净负荷最小,65,10:50,5,0.0136986301369863
净负荷最小,66,11:00,9,0.024657534246575342
净负荷最小,67,11:10,7,0.019178082191780823
净负荷最小,68,11:20,10,0.0273972602739726
