policy,date,block_id,physical_interval,charge_bus_kwh,discharge_bus_kwh,soc_0_kwh,soc_24_kwh
MAIN,2025-02-12,4,12:00-16:00,4798.61076259259,1711.7743599999994,8681.275569592593,8854.72051085185
MAIN,2025-02-12,5,16:00-20:00,177.2374873251009,5590.434376666666,8681.275569592593,8854.72051085185
MAIN,2025-02-12,6,20:00-24:00,8283.362653333334,2891.1918066666667,8681.275569592593,8854.72051085185
MAIN,2025-02-13,1,0:00-4:00,1738.470421275722,100.4579166666664,8854.72051085185,8266.619260222222
MAIN,2025-02-13,2,4:00-8:00,1561.151949835388,2441.08969,8854.72051085185,8266.619260222222
MAIN,2025-02-13,3,8:00-12:00,6056.708733333333,4285.605216666667,8854.72051085185,8266.619260222222
MAIN,2025-02-13,4,12:00-16:00,2192.501504897116,776.6500500000004,8854.72051085185,8266.619260222222
MAIN,2025-02-13,5,16:00-20:00,0.0,5673.973946666667,8854.72051085185,8266.619260222222
MAIN,2025-02-13,6,20:00-24:00,7753.366153333334,2886.2953033333333,8854.72051085185,8266.619260222222
MAIN,2025-02-14,1,0:00-4:00,446.4831899999999,98.90229333333345,8266.619260222222,8227.757223777777
MAIN,2025-02-14,2,4:00-8:00,496.42998444444646,6147.512083333333,8266.619260222222,8227.757223777777
MAIN,2025-02-14,3,8:00-12:00,5173.872783333333,213.09401666666668,8266.619260222222,8227.757223777777
MAIN,2025-02-14,4,12:00-16:00,4672.783251028807,30.97816666666665,8266.619260222222,8227.757223777777
MAIN,2025-02-14,5,16:00-20:00,49.722983333333445,6226.440416666668,8266.619260222222,8227.757223777777
MAIN,2025-02-14,6,20:00-24:00,7655.917985473251,2299.1691,8266.619260222222,8227.757223777777
MAIN,2025-02-15,1,0:00-4:00,406.5386699999997,129.61188999999973,8227.757223777777,8733.676901814817
MAIN,2025-02-15,2,4:00-8:00,607.1898253086415,5878.471283333333,8227.757223777777,8733.676901814817
MAIN,2025-02-15,3,8:00-12:00,5909.73785,159.00708333333336,8227.757223777777,8733.676901814817
MAIN,2025-02-15,4,12:00-16:00,3548.272858724281,34.19743333333315,8227.757223777777,8733.676901814817
MAIN,2025-02-15,5,16:00-20:00,58.81005349794157,6038.17048,8227.757223777777,8733.676901814817
MAIN,2025-02-15,6,20:00-24:00,8095.130096666668,2392.0143966666665,8227.757223777777,8733.676901814817
MAIN,2025-02-16,1,0:00-4:00,1972.2758202057596,26.09968000000015,8733.676901814817,8842.911390444448
MAIN,2025-02-16,2,4:00-8:00,1571.4256463374477,2673.7262660333354,8733.676901814817,8842.911390444448
MAIN,2025-02-16,3,8:00-12:00,5806.339333333333,6052.269423333334,8733.676901814817,8842.911390444448
MAIN,2025-02-16,4,12:00-16:00,4759.876740534981,817.2470500000001,8733.676901814817,8842.911390444448
MAIN,2025-02-16,5,16:00-20:00,235.4819300411575,5864.559499999999,8733.676901814817,8842.911390444448
MAIN,2025-02-16,6,20:00-24:00,8373.076606666667,2869.752663333333,8733.676901814817,8842.911390444448
MAIN,2025-02-17,1,0:00-4:00,1693.5494595061691,118.34627666666688,8842.911390444448,8824.461593703707
MAIN,2025-02-17,2,4:00-8:00,1744.1723777366296,2321.30064,8842.911390444448,8824.461593703707
MAIN,2025-02-17,3,8:00-12:00,6062.874676666666,4143.184666666667,8842.911390444448,8824.461593703707
MAIN,2025-02-17,4,12:00-16:00,1624.0423526748964,688.6572000000002,8842.911390444448,8824.461593703707
MAIN,2025-02-17,5,16:00-20:00,59.26465020575794,5691.997243333332,8842.911390444448,8824.461593703707
MAIN,2025-02-17,6,20:00-24:00,8397.718433333333,2914.23257,8842.911390444448,8824.461593703707
MAIN,2025-02-18,1,0:00-4:00,1852.8184969958816,104.64428666666686,8824.461593703707,9062.340495111115
MAIN,2025-02-18,2,4:00-8:00,1684.383822386823,3960.545853333334,8824.461593703707,9062.340495111115
MAIN,2025-02-18,3,8:00-12:00,5748.869700000001,4380.564633333333,8824.461593703707,9062.340495111115
MAIN,2025-02-18,4,12:00-16:00,4655.676074032918,1069.0766166666667,8824.461593703707,9062.340495111115
MAIN,2025-02-18,5,16:00-20:00,76.07981893004249,5531.109089999998,8824.461593703707,9062.340495111115
MAIN,2025-02-18,6,20:00-24:00,8437.010760000001,2928.387833333333,8824.461593703707,9062.340495111115
MAIN,2025-02-19,1,0:00-4:00,1339.4239965432057,208.6084133333333,9062.340495111115,8569.181028555558
MAIN,2025-02-19,2,4:00-8:00,1845.1558208230465,3694.653860000001,9062.340495111115,8569.181028555558
MAIN,2025-02-19,3,8:00-12:00,5937.958893333333,5277.682616666667,9062.340495111115,8569.181028555558
MAIN,2025-02-19,4,12:00-16:00,5443.82780193416,1088.5084868312738,9062.340495111115,8569.181028555558
MAIN,2025-02-19,5,16:00-20:00,86.2715053472534,5665.118426666666,9062.340495111115,8569.181028555558
MAIN,2025-02-19,6,20:00-24:00,8187.287303333334,3009.6112266666664,9062.340495111115,8569.181028555558
MAIN,2025-02-20,1,0:00-4:00,2382.1190300000003,59.09073666666677,8569.181028555558,7819.838504074079
MAIN,2025-02-20,2,4:00-8:00,1323.1304964197534,2930.531858533335,8569.181028555558,7819.838504074079
MAIN,2025-02-20,3,8:00-12:00,5550.294196666667,5011.319733333334,8569.181028555558,7819.838504074079
MAIN,2025-02-20,4,12:00-16:00,3518.3517536625536,338.17593333333343,8569.181028555558,7819.838504074079
MAIN,2025-02-20,5,16:00-20:00,35.29226666666659,5505.788426666664,8569.181028555558,7819.838504074079
MAIN,2025-02-20,6,20:00-24:00,7122.557713168724,2974.2154033333336,8569.181028555558,7819.838504074079
MAIN,2025-02-21,1,0:00-4:00,536.4997799999999,122.2967999999999,7819.838504074079,7643.839356000004
MAIN,2025-02-21,2,4:00-8:00,554.4147339094593,5779.72308,7819.838504074079,7643.839356000004
MAIN,2025-02-21,3,8:00-12:00,7218.217866666667,125.6703166666668,7819.838504074079,7643.839356000004
MAIN,2025-02-21,4,12:00-16:00,2444.530005843622,27.668550000000096,7819.838504074079,7643.839356000004
MAIN,2025-02-21,5,16:00-20:00,37.5132139917704,5972.174709999999,7819.838504074079,7643.839356000004
MAIN,2025-02-21,6,20:00-24:00,6678.030621893005,2280.9228166666667,7819.838504074079,7643.839356000004
MAIN,2025-02-22,1,0:00-4:00,338.1792733333332,111.21192999999973,7643.839356000004,8980.407886074074
MAIN,2025-02-22,2,4:00-8:00,508.2209610699545,5463.814563333333,7643.839356000004,8980.407886074074
MAIN,2025-02-22,3,8:00-12:00,6503.709066666666,144.09510000000006,7643.839356000004,8980.407886074074
MAIN,2025-02-22,4,12:00-16:00,3217.379801316869,95.67953666666642,7643.839356000004,8980.407886074074
MAIN,2025-02-22,5,16:00-20:00,110.41064666666676,6073.503723333335,7643.839356000004,8980.407886074074
MAIN,2025-02-22,6,20:00-24:00,8371.4037,2338.7192633333334,7643.839356000004,8980.407886074074
