decision_date,selected_branch,score_n_days,loss_B,loss_M,screen_cost_B,screen_cost_M,mae50_B,mae50_M,month
2025-07-22,LIGHTGBM,28,22.420244237040063,20.757724478019952,1830843.71458553,1818963.8897388447,430.5873015500992,420.1395541410709,2025-07
2025-07-23,LIGHTGBM,28,22.17516437074724,20.30369293859287,1825088.5914409573,1809816.431620908,425.5471290426588,416.8359832169856,2025-07
2025-07-24,LIGHTGBM,28,22.12110920029692,20.29320108836671,1827175.6979670688,1812851.474000059,423.3007987723214,415.98989089888994,2025-07
2025-07-25,LIGHTGBM,28,22.20325928075071,20.40839742227982,1831818.6976728216,1818375.810886365,423.9132371899802,417.3309959463032,2025-07
2025-07-26,LIGHTGBM,28,22.299843367726755,20.465893312614853,1840103.8211948285,1825333.1370654288,426.3610359623016,417.0950410487704,2025-07
2025-07-27,LIGHTGBM,28,22.41283709626113,20.516548239652906,1847392.4196532648,1831499.6305851825,427.799825062004,417.5995917729103,2025-07
2025-07-28,LIGHTGBM,28,22.31306160399626,20.484075394729413,1851922.694829311,1837169.2064262603,426.1519884796626,417.6768830254891,2025-07
2025-07-29,LIGHTGBM,28,22.216405181360216,20.470302376781184,1856231.1127518413,1841884.1761977717,427.03361733630953,418.5013424600506,2025-07
2025-07-30,LIGHTGBM,28,21.966680275107723,19.895889486170496,1849207.6676687407,1827948.2706434235,423.4809400669644,413.5804385937532,2025-07
2025-07-31,LIGHTGBM,28,21.495413740617,19.32491084144732,1840447.8672538323,1817918.5792105128,417.32675167410713,404.08944594783645,2025-07
2025-08-01,LIGHTGBM,28,20.2507749818274,18.65012528995656,1816536.0516229123,1801188.2418354845,399.0998500124008,394.99932525233766,2025-08
2025-08-02,LIGHTGBM,28,19.782289390717064,18.48591389698745,1801040.8466050057,1791342.084832431,393.1315118303572,394.37418627314617,2025-08
2025-08-03,LIGHTGBM,28,18.892716261790977,17.649135986637805,1782846.7927963457,1770985.9665966148,379.9289448040675,387.532958890528,2025-08
2025-08-04,LIGHTGBM,28,17.735635076472043,16.477255032127555,1754020.9173588196,1736397.767141919,363.15838800843255,377.1075956306487,2025-08
2025-08-05,LIGHTGBM,28,17.37875497034208,16.026700097209652,1742158.558623785,1721664.3768016954,355.65563658234123,373.3101940292006,2025-08
2025-08-06,LIGHTGBM,28,17.260551314745605,16.05643751312415,1731934.4971649244,1713698.6087607888,352.48846113591264,371.23399196032966,2025-08
2025-08-07,LIGHTGBM,28,17.249575358395152,15.807601502821376,1727156.230595162,1705117.509474432,351.5894125992063,364.0514477866984,2025-08
2025-08-08,LIGHTGBM,28,17.219982919621234,15.624820203869396,1721132.296667487,1695017.1914065322,352.6626721602183,355.03415753328346,2025-08
2025-08-09,LIGHTGBM,28,17.004900738673182,15.339004863935916,1716176.9080842407,1686092.5799804218,348.1563290674603,344.2505413839646,2025-08
2025-08-10,LIGHTGBM,28,16.879178643837616,15.130917753666433,1711653.578231471,1681077.6173670376,348.03161272321427,343.6044838080168,2025-08
2025-08-11,LIGHTGBM,28,16.493136184376606,14.739978572168528,1701788.5303360836,1671174.5960995634,342.0492843874008,339.4014332395039,2025-08
2025-08-12,LIGHTGBM,28,16.412352803925213,14.437929328722198,1696935.4629712384,1660592.4530435642,342.0085211309524,333.80319741703704,2025-08
2025-08-13,LIGHTGBM,28,16.53020060435931,14.278663705992155,1694471.6781767528,1655118.596032512,341.5585297371032,327.8776334059916,2025-08
2025-08-14,LIGHTGBM,28,16.397503316172255,14.200151921064116,1688456.1569002522,1650700.0012403508,340.56059466765873,325.8729082206863,2025-08
2025-08-15,LIGHTGBM,28,16.32796345899585,14.182661240478655,1683159.8441104032,1646528.1790028762,339.271509015377,323.84894546145426,2025-08
2025-08-16,LIGHTGBM,28,16.307015499683747,14.310671170409158,1679611.8169411172,1644983.9817276634,337.7936164434524,324.51999370571383,2025-08
2025-08-17,LIGHTGBM,28,16.080273760946664,14.339660045072604,1676121.8465847247,1643996.674162713,334.2217431175595,325.21135437114015,2025-08
2025-08-18,LIGHTGBM,28,16.057566220934078,14.30142157911776,1669969.0474523338,1638823.245400054,334.7583234623016,325.48157903270805,2025-08
2025-08-19,LIGHTGBM,28,16.022002807763677,14.295480433069386,1663893.4210030292,1634661.9574074342,335.77333462301584,325.5703646840305,2025-08
2025-08-20,LIGHTGBM,28,15.902800532228293,14.222221555651885,1656396.0327857274,1628047.8684225874,333.7324149677579,322.8025519788103,2025-08
2025-08-21,LIGHTGBM,28,16.068893808070634,14.429098603760307,1656856.7884777284,1630973.6638689374,336.41612593005954,324.92006300132994,2025-08
2025-08-22,LIGHTGBM,28,16.005696773115577,14.47264349996635,1651746.2205035477,1627846.3419002271,337.1632676835317,326.2653437536166,2025-08
2025-08-23,LIGHTGBM,28,15.824521863448958,14.404374179911905,1649660.9405811727,1627732.5939599331,334.6037729910714,325.493095869936,2025-08
2025-08-24,LIGHTGBM,28,15.84689724214446,14.42169943224008,1645555.0710834533,1626104.599892234,335.7858565352182,325.4176837991997,2025-08
2025-08-25,LIGHTGBM,28,15.847745835325084,14.508777096185856,1639898.1159443676,1621254.582073575,338.0514008804563,328.82548575013544,2025-08
2025-08-26,LIGHTGBM,28,16.092151515499655,14.563883803258602,1633714.7350561656,1616659.6576025975,341.9131560391865,329.98842364983864,2025-08
2025-08-27,LIGHTGBM,28,15.970623110998844,14.552855581974695,1625407.924179129,1611350.0419279789,340.9511229414682,329.78548448340683,2025-08
2025-08-28,LIGHTGBM,28,15.747713165417691,14.432040373891194,1618993.216487803,1607206.518704662,337.4860115947421,327.8829204163813,2025-08
2025-08-29,LIGHTGBM,28,15.914455925070934,14.676301561401242,1615539.7505928767,1605913.1767866577,340.04493622271826,332.2784960677369,2025-08
2025-08-30,LIGHTGBM,28,15.760502202369777,14.512865873472908,1616222.699223448,1607047.6134921422,336.02113468501983,324.531218118458,2025-08
2025-08-31,LIGHTGBM,28,15.953164856570467,14.582457830253135,1617467.9137916197,1607678.726186213,339.4101675099206,325.45082923849594,2025-08
2025-09-01,LIGHTGBM,28,15.983397075936772,14.416761657052042,1617788.7745067407,1607862.0920365865,339.3585386284722,317.6993258783807,2025-09
2025-09-02,LIGHTGBM,28,16.3649687621437,14.947817425275952,1616702.0924973583,1610091.8896778645,349.6314102306547,332.99494086468053,2025-09
2025-09-03,LIGHTGBM,28,16.690229153999308,15.176428637560072,1616206.757594866,1609088.3913501385,362.17155104166665,343.37849864938886,2025-09
2025-09-04,LIGHTGBM,28,16.781762168045155,15.379116611450934,1611377.582132561,1604809.4946751022,366.7387250496032,346.8507505913352,2025-09
2025-09-05,LIGHTGBM,28,17.02836457770804,15.606872219793168,1609401.5312934248,1603013.270505831,374.91989809027774,352.1575043581979,2025-09
2025-09-06,LIGHTGBM,28,17.38110974294226,15.937366576990012,1609317.7799052997,1603557.8023748011,386.4094718874008,362.2806468067308,2025-09
2025-09-07,LIGHTGBM,28,17.80161319069461,16.536784415266474,1608653.9432622506,1603942.9163890649,398.4882085565476,380.1361783352351,2025-09
2025-09-08,LIGHTGBM,28,18.20580143943244,16.876452959952854,1609169.0005737438,1604339.1551037375,407.1587842261905,388.37259472631536,2025-09
2025-09-09,LIGHTGBM,28,18.352560307550977,16.994001251314003,1607158.4355972456,1601332.8494723658,408.8708139632937,386.6044817637555,2025-09
2025-09-10,LIGHTGBM,28,18.29832307484547,17.000398068036354,1599617.7454838008,1593245.02133716,409.6190851066468,386.16806031453285,2025-09
2025-09-11,LIGHTGBM,28,18.85956661739593,17.365885771414625,1598778.8503566696,1593456.7153538757,417.8338115699405,391.5370333002772,2025-09
2025-09-12,LIGHTGBM,28,18.96199505077616,17.3938000480336,1591796.9875366031,1585465.5435800306,420.02531701388887,390.8002972237486,2025-09
2025-09-13,LIGHTGBM,28,18.88481090108071,17.226931763916703,1585947.2931763534,1580004.3002722026,421.8388410590278,387.73422680148735,2025-09
2025-09-14,LIGHTGBM,28,18.911631902868688,17.18080149540322,1580567.3136728287,1574082.20704682,422.8514674603175,386.9673170065835,2025-09
2025-09-15,LIGHTGBM,28,18.962532381875526,17.085862877185622,1574245.6251822668,1569294.248342376,427.2732748139881,388.1419434173194,2025-09
2025-09-16,LIGHTGBM,28,19.00967811111232,17.11541501608145,1569134.0746087453,1563227.2805882306,428.95575086805553,388.6223136145517,2025-09
2025-09-17,LIGHTGBM,28,18.9794925536084,16.96866426165303,1563684.2270054906,1557167.797067956,431.9218680059524,386.2618952799244,2025-09
2025-09-18,LIGHTGBM,28,18.578956048284677,16.745091960987647,1549312.2574167885,1544593.1489006795,427.194321937004,386.5773997429196,2025-09
2025-09-19,LIGHTGBM,28,18.37245913354304,16.459890473272893,1542249.6857608985,1536699.6432668902,422.1076352678572,381.3114252937724,2025-09
2025-09-20,LIGHTGBM,28,18.36775774636001,16.394421026601602,1535631.3288499652,1530078.4994370602,422.8399000248016,379.4345854069088,2025-09
2025-09-21,LIGHTGBM,28,18.252171025148268,16.33913290116593,1531515.8321487429,1525056.3205264255,421.2097370287698,377.8244507970591,2025-09
2025-09-22,LIGHTGBM,28,18.21826747152813,16.26822068091909,1526985.301973132,1519777.2523698015,420.15300576636906,373.9110131089401,2025-09
2025-09-23,LIGHTGBM,28,17.89299919019253,16.0849152836204,1521583.3764046174,1513769.5050367324,413.8117691592262,369.7414286536312,2025-09
2025-09-24,LIGHTGBM,28,17.742386457194296,15.989670740478177,1516828.397839594,1508767.4087601225,411.01241841517856,366.807456022669,2025-09
2025-09-25,LIGHTGBM,28,17.745431639889386,16.017322199209776,1511361.672687681,1503536.4491082367,411.2110779017857,366.379398310216,2025-09
2025-09-26,LIGHTGBM,28,17.447180361625648,15.68612008006185,1504583.3692758868,1495079.0752628923,405.35573754960313,359.91472553210536,2025-09
2025-09-27,LIGHTGBM,28,17.337368147198664,15.651379328832304,1496987.610829485,1487721.7722757428,404.2455824652778,359.32570876320733,2025-09
2025-09-28,LIGHTGBM,28,17.375310400550315,15.580183885474836,1493895.4206844894,1483853.2807416953,404.8910139632936,357.10116843541016,2025-09
2025-09-29,LIGHTGBM,28,17.227021391274224,15.570452296827858,1490785.98706346,1481353.6819862034,402.4286773809524,357.67916441539705,2025-09
