policy,date,grid_plan_kwh,grid_used_kwh,grid_unused_kwh,charge_bus_kwh,discharge_bus_kwh,emergency_kwh,pv_curtailment_kwh,plan_cost_yuan,emergency_cost_yuan,total_cost_yuan,soc_start_kwh,soc_end_kwh,soc_min_kwh,soc_max_kwh,emergency_slot_count,emergency_event_count,subthreshold_emergency_kwh
MAIN,2025-07-29,89361.47034477946,80712.65014431096,8648.82020046851,19257.614714726013,15243.707310737813,28.89386330778285,658.3906536305323,56925.06120227808,194.5423816513018,57119.60358392939,9321.221483677751,9715.622159444703,1821.3842965801923,10800.0,1,1,5.684341886080803e-14
MAIN,2025-07-30,86517.35593917644,79704.3176846751,6813.03825450133,19246.301981326666,15526.175146651549,1.4210854715202006e-13,1880.9368,54956.60692916935,5.323244067767519e-13,54956.60692916935,9715.622159444703,9785.988224136978,1964.180805132744,10800.0,0,0,1.4210854715202006e-13
MAIN,2025-07-31,80410.76209124636,73411.59084751277,6999.171243733585,14200.744442600051,16327.19434508728,2.842170943040401e-13,843.0444833333336,52270.73181226462,1.408324123985949e-12,52270.73181226462,9785.988224136978,4425.331172380045,1476.8797349021436,10800.0,0,0,2.842170943040401e-13
MAIN,2025-08-01,43567.18145927533,41899.86348211154,1667.3179771637874,12548.458096621584,9860.92328230607,0.0,17960.969001129357,26135.81653304876,0.0,26135.81653304876,4425.331172380045,4762.362034554951,1680.453500910694,10800.0,0,0,0.0
MAIN,2025-08-02,47802.89958901591,46511.82584968244,1291.0737393334648,19062.18708679492,10828.59810127275,2.842170943040401e-13,17351.21193082694,27733.61011047785,7.030394044704735e-13,27733.61011047785,4762.362034554951,9886.554744589546,1917.196696893436,10800.0,0,0,2.842170943040401e-13
MAIN,2025-08-03,81416.05103987212,71004.0359292815,10412.015110590622,16980.3772562718,14494.152013933612,43.86251305668958,5722.193216666667,51322.95966319001,295.58087219074594,51618.54053538076,9886.554744589546,9064.28092641904,1459.3974383002042,10800.0,3,1,5.684341886080803e-14
MAIN,2025-08-04,79836.23266515623,72861.21590674353,6975.016758412697,18731.72229875439,14835.6372536118,33.921590076266966,3583.397368343866,49960.77703792689,228.3940659835049,50189.1711039104,9064.28092641904,9438.789602395991,1692.0091318514822,10800.0,1,1,3.410605131648481e-13
MAIN,2025-08-05,80696.4003323256,72837.29943965038,7859.100892675213,18280.54672648852,14768.035870171476,2.557953848736361e-13,4172.47885,50734.28327358197,1.4754704125152784e-12,50734.28327358197,9438.789602395991,9482.352911600685,1917.724544350665,10800.0,0,0,2.557953848736361e-13
MAIN,2025-08-06,78746.77599479526,73485.78429925919,5260.991695536082,18443.36645332276,15740.277060113487,4.831690603168681e-13,2668.295639383249,49517.532567268514,2.004497900998104e-12,49517.532567268514,9482.352911600685,8592.185986131733,1270.040215920822,10800.0,0,0,4.831690603168681e-13
MAIN,2025-08-07,74935.35849606879,65903.45824944566,9031.900246623134,13202.914782703569,15129.49752230592,0.0,4442.055739048001,48885.84110728439,0.0,48885.84110728439,8592.185986131733,3664.2564880028167,1806.4545562526696,10800.0,0,0,0.0
MAIN,2025-08-08,41622.44292893066,40567.044484810496,1055.3984441201678,13350.311665437415,10444.255219628374,5.684341886080803e-14,21885.816789001456,24777.63455614315,2.689262146304827e-13,24777.63455614315,3664.2564880028167,4074.808965087186,1851.4720683775888,10800.0,0,0,5.684341886080803e-14
MAIN,2025-08-09,46678.61596667214,45865.16418707381,813.4517795983302,18751.432248959118,10421.88365799921,1.9895196601282805e-13,18613.686596113905,26791.02415782434,6.519371709146071e-13,26791.02415782434,4074.808965087186,9371.227258040157,1922.5647226466183,10800.0,0,0,1.9895196601282805e-13
MAIN,2025-08-10,76718.817264687,71313.58571988708,5405.231544799896,17983.81794740131,14154.908610847551,3.979039320256561e-13,2180.0573333333336,48808.846025869454,1.6839010186231462e-12,48808.846025869454,9371.227258040157,9828.987176426284,2018.3239790941448,10800.0,0,0,3.979039320256561e-13
MAIN,2025-08-11,76969.76392430963,70900.00695569406,6069.756968615572,18796.75480611321,15836.688710906732,73.637366879665,3452.324894033914,48745.08965217755,496.0958006153343,49241.18545279288,9828.987176426284,9149.745712031803,1392.9661111723333,10800.0,4,1,8.526512829121202e-14
MAIN,2025-08-12,77005.97514455169,73338.48616667584,3667.48897787586,18566.99391981065,15177.254605689564,92.0172085563586,2280.220411111116,48429.38301468887,604.1333173892292,49033.516332078085,9149.745712031803,8996.42401131744,1200.0,10800.0,3,2,4.831690603168681e-13
