date,slot_id,physical_interval_start,physical_interval_end,selected_branch,load_kw,pv_actual_kw,actual_net_kw,q50_kw,q80_kw,q50_error_kw,q80_exceed,price_yuan_per_kwh,grid_plan_kwh,grid_used_kwh,grid_unused_kwh,charge_bus_kwh,discharge_bus_kwh,emergency_kwh,pv_curtailment_kwh,soc_start_kwh,soc_end_kwh,plan_cost_yuan,emergency_cost_yuan,total_cost_yuan
2025-12-21,38,2025-12-21 06:10:00,2025-12-21 06:20:00,LIGHTGBM,5407.8325,0.0,5407.8325,5366.598763978919,5532.787674629603,41.23373602108131,False,0.8758,922.131279104934,922.131279104934,-0.0,20.825862438267222,0.0,0.0,0.0,10067.788091971564,10086.531368166005,807.6025742401011,0.0,807.6025742401011
2025-12-21,39,2025-12-21 06:20:00,2025-12-21 06:30:00,LIGHTGBM,5587.05,0.0,5587.05,5314.460963978919,5480.649874629603,272.5890360210815,True,0.8759,913.4416457716004,913.4416457716004,-0.0,0.0,17.73335422839955,0.0,0.0,10086.531368166005,10066.82764124556,800.0835375313449,0.0,800.0835375313449
2025-12-21,40,2025-12-21 06:30:00,2025-12-21 06:40:00,LIGHTGBM,5351.2866,6.1366,5345.150000000001,5367.833563978919,5534.022474629604,-22.683563978918755,False,0.8601,922.337079104934,922.337079104934,-0.0,31.47874577160053,0.0,0.0,0.0,10066.82764124556,10095.15851244,793.3021217381536,0.0,793.3021217381536
2025-12-21,41,2025-12-21 06:40:00,2025-12-21 06:50:00,LIGHTGBM,5233.249,0.0,5233.249,5490.013463978919,5645.862898955498,-256.7644639789196,False,0.8442,940.9771498259164,940.9771498259164,-0.0,68.76898315924973,0.0,0.0,0.0,10095.15851244,10157.050597283323,794.3729098830386,0.0,794.3729098830386
2025-12-21,42,2025-12-21 06:50:00,2025-12-21 07:00:00,LIGHTGBM,5374.2,0.0,5374.2,5518.140963978919,5669.265940085289,-143.94096397891917,False,0.8334,944.8776566808816,944.8776566808816,-0.0,49.17765668088157,0.0,0.0,0.0,10157.050597283323,10201.310488296118,787.4610390778466,0.0,787.4610390778466
2025-12-21,43,2025-12-21 07:00:00,2025-12-21 07:10:00,LIGHTGBM,5360.7841,172.6829,5188.1012,5200.22786302416,5348.262698762603,-12.126663024159825,False,0.8092,891.3771164604337,891.3771164604337,-0.0,26.6935831271004,0.0,0.0,0.0,10201.310488296118,10225.334713110507,721.302362639783,0.0,721.302362639783
2025-12-21,44,2025-12-21 07:10:00,2025-12-21 07:20:00,LIGHTGBM,5321.3096,420.0356,4901.273999999999,4905.615563024159,5054.434340085289,-4.341563024159768,False,0.7972,842.4057233475481,842.4057233475481,-0.0,25.526723347548227,0.0,0.0,0.0,10225.334713110507,10248.3087641233,671.5658426526654,0.0,671.5658426526654
2025-12-21,45,2025-12-21 07:20:00,2025-12-21 07:30:00,LIGHTGBM,5231.72,690.675,4541.045,4698.475963978919,4849.600940085289,-157.43096397891895,False,0.7644,808.2668233475482,808.2668233475482,-0.0,51.42599001421479,0.0,0.0,0.0,10248.3087641233,10294.592155136095,617.8391597668658,0.0,617.8391597668658
2025-12-21,46,2025-12-21 07:30:00,2025-12-21 07:40:00,LIGHTGBM,5065.8847,996.7377,4069.1469999999995,4430.67606302416,4578.7108987626025,-361.5290630241602,False,0.6899,1596.4518164604335,1239.7554387376715,356.696377722762,561.5642720710052,0.0,0.0,0.0,10294.592155136095,10800.0,1101.3921081760532,0.0,1101.3921081760532
2025-12-21,47,2025-12-21 07:40:00,2025-12-21 07:50:00,LIGHTGBM,5889.1246,1276.7125,4612.4121,4776.030663024159,4929.573898955498,-163.6185630241598,False,0.86,821.5956498259164,768.7353499999999,52.86029982591651,0.0,0.0,0.0,0.0,10800.0,10800.0,706.5722588502881,0.0,706.5722588502881
2025-12-21,48,2025-12-21 07:50:00,2025-12-21 08:00:00,LIGHTGBM,7180.79,1539.8625,5640.9275,5467.655912851269,5634.353647515369,173.27158714873076,True,1.1617,105.72560791922808,105.72560791922808,0.0,0.0,833.3333333333334,1.095642080771995,0.0,10800.0,9874.074074074077,122.82143871976726,6.364037026164133,129.1854757459314
2025-12-21,49,2025-12-21 08:00:00,2025-12-21 08:10:00,LIGHTGBM,7254.351,1860.1541,5394.1969,5524.1743179992245,5596.811247385637,-129.9774179992246,False,1.1683,99.46854123093954,99.46854123093954,-0.0,0.0,799.564275435727,0.0,0.0,9874.074074074077,8985.669323589933,116.20909672010664,0.0,116.20909672010664
2025-12-21,50,2025-12-21 08:10:00,2025-12-21 08:20:00,LIGHTGBM,7152.8955,2211.6206,4941.274899999999,5236.102735816894,5414.705411923912,-294.82783581689455,False,1.0956,69.11756865398524,69.11756865398524,-0.0,0.0,754.4282480126813,0.0,0.0,8985.669323589933,8147.415714686954,75.72520821730623,0.0,75.72520821730623
2025-12-21,51,2025-12-21 08:20:00,2025-12-21 08:30:00,LIGHTGBM,7367.01,2579.625,4787.385,4970.582135816894,5139.747098218977,-183.19713581689393,False,1.0849,23.291183036496136,23.291183036496136,-0.0,0.0,774.6063169635039,0.0,0.0,8147.415714686954,7286.74202917195,25.26860447629466,0.0,25.26860447629466
2025-12-21,52,2025-12-21 08:30:00,2025-12-21 08:40:00,LIGHTGBM,7333.1326,2953.1787,4379.9539,4754.597335816894,4842.9047890290885,-374.64343581689354,False,1.061,0.0,0.0,0.0,0.0,729.9923166666667,0.0,-0.0,7286.74202917195,6475.639455097876,0.0,0.0,0.0
2025-12-21,53,2025-12-21 08:40:00,2025-12-21 08:50:00,LIGHTGBM,7276.0603,3195.6035,4080.4568,4534.534707195528,4642.595847680533,-454.0779071955285,False,1.043,0.0,0.0,0.0,0.0,680.0761333333332,0.0,-0.0,6475.639455097876,5719.999306949728,0.0,0.0,0.0
2025-12-21,54,2025-12-21 08:50:00,2025-12-21 09:00:00,LIGHTGBM,7255.65,3341.5875,3914.0624999999995,4262.14208988124,4373.07102851277,-348.07958988124074,False,1.036,0.0,0.0,0.0,0.0,652.3437499999999,0.0,-0.0,5719.999306949728,4995.172918060839,0.0,0.0,0.0
2025-12-21,55,2025-12-21 09:00:00,2025-12-21 09:10:00,LIGHTGBM,7076.8086,3572.7867,3504.0219,3936.9113898812407,4159.004268173222,-432.8894898812405,False,1.0147,0.0,0.0,0.0,0.0,584.00365,0.0,-0.0,4995.172918060839,4346.279973616394,0.0,0.0,0.0
2025-12-21,56,2025-12-21 09:10:00,2025-12-21 09:20:00,LIGHTGBM,7014.1683,3848.0561,3166.1122000000005,3731.2561898812414,3864.274465590647,-565.1439898812409,False,0.9922,0.0,0.0,0.0,0.0,527.6853666666668,0.0,-0.0,4346.279973616394,3759.96289954232,0.0,0.0,0.0
2025-12-21,57,2025-12-21 09:20:00,2025-12-21 09:30:00,LIGHTGBM,7150.59,4116.6,3033.99,3597.8925251340324,3728.762518279948,-563.9025251340327,False,0.97,73.81818040790233,73.81818040790233,-0.0,0.0,431.84681959209775,0.0,0.0,3759.96289954232,3280.133099995545,71.60363499566526,0.0,71.60363499566526
2025-12-21,58,2025-12-21 09:30:00,2025-12-21 09:40:00,LIGHTGBM,7259.4501,4370.6969,2888.7532,3307.322289881241,3514.2670072601672,-418.56908988124087,False,0.9422,585.7111678766945,585.7111678766945,0.0,104.252301210028,0.0,1.1368683772161605e-13,0.0,3280.133099995545,3373.96017108457,551.8570623734216,5.355786925065333e-13,551.8570623734222
2025-12-21,59,2025-12-21 09:40:00,2025-12-21 09:50:00,LIGHTGBM,7142.682,4583.0793,2559.6026999999995,2820.96624595036,3024.273685973526,-261.36354595036073,False,0.9569,504.045614328921,504.045614328921,0.0,77.44516432892124,0.0,5.684341886080803e-14,0.0,3373.96017108457,3443.6608189805997,482.3212483513445,2.719673375395359e-13,482.3212483513448
2025-12-21,60,2025-12-21 09:50:00,2025-12-21 10:00:00,LIGHTGBM,6912.23,4750.3875,2161.8424999999997,2389.3720898812417,2665.4051626458067,-227.52958988124192,False,0.9977,0.0,0.0,0.0,0.0,360.30708333333325,0.0,-0.0,3443.6608189805997,3043.3196152768955,0.0,0.0,0.0
2025-12-21,61,2025-12-21 10:00:00,2025-12-21 10:10:00,LIGHTGBM,6873.3728,4886.2111,1987.1616999999997,2246.582969978611,2525.7077695501066,-259.42126997861124,False,0.9919,0.0,0.0,0.0,0.0,331.19361666666657,0.0,-0.0,3043.3196152768955,2675.326707869488,0.0,0.0,0.0
2025-12-21,62,2025-12-21 10:10:00,2025-12-21 10:20:00,LIGHTGBM,6913.1885,4956.6279,1956.5605999999998,1901.3597319198493,2179.704698667874,55.200868080150485,False,0.9588,363.2841164446456,363.2841164446455,1.1368683772161605e-13,37.19068311131218,0.0,0.0,0.0,2675.326707869488,2708.798322669669,348.31681084712625,0.0,348.31681084712625
2025-12-21,63,2025-12-21 10:20:00,2025-12-21 10:30:00,LIGHTGBM,6951.47,4960.7625,1990.7075000000004,1325.3664994510716,1639.2692234731978,665.3410005489288,True,0.9549,273.2115372455329,273.2115372455329,5.684341886080803e-14,0.0,58.57304608780055,0.0,0.0,2708.798322669669,2643.7171603498905,260.88969691575943,0.0,260.88969691575943
2025-12-21,64,2025-12-21 10:30:00,2025-12-21 10:40:00,LIGHTGBM,7040.6919,4946.2149,2094.477,1122.2501027802798,1481.1832329852944,972.2268972197201,True,0.9839,0.0,0.0,0.0,0.0,349.07950000000005,0.0,-0.0,2643.7171603498905,2255.8510492387795,0.0,0.0,0.0
2025-12-21,65,2025-12-21 10:40:00,2025-12-21 10:50:00,LIGHTGBM,7195.1724,4968.8079,2226.3645000000006,1283.5458288964817,1602.0174473800898,942.8186711035189,True,0.799,267.0029078966816,267.0029078966816,5.684341886080803e-14,0.0,104.05784210331854,0.0,0.0,2255.8510492387795,2140.231224679537,213.33532340944865,0.0,213.33532340944865
2025-12-21,66,2025-12-21 10:50:00,2025-12-21 11:00:00,LIGHTGBM,7266.62,4979.2125,2287.4075000000003,1426.6289252662525,1697.011410071483,860.7785747337477,True,0.5025,1116.1685683452472,1116.168568345247,2.273736754432321e-13,734.9339850119138,0.0,0.0,0.0,2140.231224679537,2801.671811190259,560.8747055934866,0.0,560.8747055934866
2025-12-21,67,2025-12-21 11:00:00,2025-12-21 11:10:00,LIGHTGBM,7080.5804,4907.9946,2172.5858,1115.7531980400845,1402.067569134125,1056.8326019599153,True,0.4662,1067.0112615223543,1067.0112615223543,-0.0,704.913628189021,0.0,0.0,0.0,2801.671811190259,3436.094076560378,497.4406501217216,0.0,497.4406501217216
